series_name,model_a,model_b,metric,mean_difference,median_difference,num_seeds_model_a_better,num_seeds_model_b_better,practical_tie_flag
18-49 yr,constrained_structure_discovery,deterministic_seir,test_mae,0.00315818798327224,0.003151260814983202,0,5,False
18-49 yr,constrained_structure_discovery,fractional_seir,test_mae,-0.0034788438350697214,0.003151190989684201,1,4,False
18-49 yr,constrained_structure_discovery,hospitalized_seihr,test_mae,0.0011320068682556792,0.0030865098878062047,2,3,False
18-49 yr,constrained_structure_discovery,probabilistic_seir,test_mae,0.0013283780958385407,0.0013283920243932004,0,5,False
18-49 yr,delayed_observation_seir,deterministic_seir,test_mae,5.1946481824079184e-05,0.00014249929360869718,2,3,True
18-49 yr,delayed_observation_seir,fractional_seir,test_mae,-0.006585085336517882,0.0001145013374485998,2,3,False
18-49 yr,delayed_observation_seir,hospitalized_seihr,test_mae,-0.0019742346331924816,-0.000284619611320501,3,2,False
18-49 yr,delayed_observation_seir,probabilistic_seir,test_mae,-0.0017778634056096199,-0.0016770791904016993,5,0,False
18-49 yr,deterministic_seir,fractional_seir,test_mae,-0.006637031818341961,-6.9825299001125e-08,3,2,False
18-49 yr,deterministic_seir,hospitalized_seihr,test_mae,-0.0020261811150165607,-6.475092717699721e-05,3,2,False
18-49 yr,deterministic_seir,probabilistic_seir,test_mae,-0.001829809887433699,-0.0018221806550556968,5,0,False
18-49 yr,fractional_seir,hospitalized_seihr,test_mae,0.0046108507033254,-6.468110187799608e-05,3,2,False
18-49 yr,fractional_seir,probabilistic_seir,test_mae,0.004807221930908262,-0.0018221108297566957,4,1,False
18-49 yr,hospitalized_seihr,probabilistic_seir,test_mae,0.00019637122758286163,-0.0017574297278786996,3,2,True
5-17 yr,constrained_structure_discovery,delayed_observation_seir,rolling_mean_mae,-0.02802490879737878,-0.029793141607927898,5,0,False
5-17 yr,constrained_structure_discovery,deterministic_seir,rolling_mean_mae,-0.02520264915996792,-0.030693754793485996,5,0,False
5-17 yr,constrained_structure_discovery,fractional_seir,rolling_mean_mae,-0.027134547773508023,-0.028953890963894204,5,0,False
5-17 yr,constrained_structure_discovery,hospitalized_seihr,rolling_mean_mae,-0.0005197387937829201,-0.0035826058070259972,3,2,True
5-17 yr,constrained_structure_discovery,probabilistic_seir,rolling_mean_mae,0.01148678258547622,0.0112912772051924,0,5,False
5-17 yr,delayed_observation_seir,deterministic_seir,rolling_mean_mae,0.0028222596374108564,-0.00039513868642090944,3,2,False
5-17 yr,delayed_observation_seir,fractional_seir,rolling_mean_mae,0.000890361023870756,-0.0004358464256112027,3,2,True
5-17 yr,delayed_observation_seir,hospitalized_seihr,rolling_mean_mae,0.02750517000359586,0.026487576891853895,0,5,False
5-17 yr,delayed_observation_seir,probabilistic_seir,rolling_mean_mae,0.039511691382855,0.03923318170879209,0,5,False
5-17 yr,deterministic_seir,fractional_seir,rolling_mean_mae,-0.0019318986135401007,-4.0707739190293246e-05,3,2,False
5-17 yr,deterministic_seir,hospitalized_seihr,rolling_mean_mae,0.024682910366184998,0.026700055371830594,0,5,False
5-17 yr,deterministic_seir,probabilistic_seir,rolling_mean_mae,0.036689431745444145,0.038101533873548,0,5,False
5-17 yr,fractional_seir,hospitalized_seihr,rolling_mean_mae,0.026614808979725103,0.026482352799461997,0,5,False
5-17 yr,fractional_seir,probabilistic_seir,rolling_mean_mae,0.03862133035898425,0.0377248101251561,0,5,False
5-17 yr,hospitalized_seihr,probabilistic_seir,rolling_mean_mae,0.01200652137925914,0.011242457325694101,0,5,False
5-17 yr,constrained_structure_discovery,delayed_observation_seir,test_mae,-0.037314863899584716,-0.0345612316072102,5,0,False
