round,repeat,record_key,spec_key,structure_name,fractional,observation_map,delay_weeks,observation_family,num_free_params,num_compartments,train_objective,train_mae,train_rmse,val_mae,val_rmse,val_smape,rolling_val_mean_mae,rolling_val_mean_rmse,multi_split_blocks,multi_split_val_mean_mae,multi_split_val_std_mae,multi_split_penalty,rolling_val_error_std,rolling_val_metrics,stability_penalty,complexity_penalty,complexity_penalty_params,complexity_penalty_compartments,complexity_penalty_fractional,complexity_penalty_observation,complexity_penalty_h_observation,complexity_penalty_delay,complexity_penalty_recurrence,age_prior_penalty,score_policy,score_formula,score,score_used_val_mae,score_used_multi_split,score_used_stability,score_used_complexity,score_used_age_prior,params,random_draw_index,search_name,candidate_budget_requested,candidate_budget_actual,candidate_universe_size,random_repeats,random_seed
15,0,0:SEIAR|fractional=0|obs=delayed_I|delay=3,SEIAR|fractional=0|obs=delayed_I|delay=3,SEIAR,False,delayed_I,3,delayed,11,5,0.49426637469660045,0.3962024318368806,0.5547326657923443,0.10527894915361165,0.1542309933835062,0.3037056036934381,0.07660275315993174,0.1101788293667318,3,0.07188220794539268,0.058041813860662726,0.029020906930331363,0.07816096012002431,"{'1': {'mae': 0.10143440640562522, 'rmse': 0.15099490953991176, 'smape': 0.29747577288096083}, '2': {'mae': 0.07914277825481192, 'rmse': 0.12200316319142633, 'smape': 0.25669978165412827}, '4': {'mae': 0.04923107481935807, 'rmse': 0.05753841536885735, 'smape': 0.18993815869339473}}",0.015632192024004864,0.22500000000000003,0.11,0.1,0.0,0.0,0.0,0.015,0.0,0.0,stability_aware,multi_split_mean_mae + multi_split_penalty + stability_penalty + complexity_penalty + age_prior_penalty,0.34153530689972894,False,True,True,True,True,"{'b0': 1.261120604759165, 'b1': 2.930342807215056, 'b2': -1.5725478520191811, 'sigma': 0.9843624521840596, 'p_asym': 0.03657372867348982, 'gamma_i': 0.13695752980317785, 'gamma_a': 0.8360182098779981, 'rho': 14.909076148063413, 'S0': 0.9016232644362924, 'E0': 0.02376788301179457, 'I0': 0.0199854646458086, 'A0': 0.054623387906104576, 'R0': 0.0, 'fractional': 0.0}",15,random_structure_discovery,30,30,44,1,2258
26,0,0:SEIRS|fractional=1|obs=delayed_I|delay=1,SEIRS|fractional=1|obs=delayed_I|delay=1,SEIRS,True,delayed_I,1,delayed,10,4,0.3597257233591909,0.26068838882366874,0.3701794806745204,0.0998314508982284,0.11557977614664686,0.4002174795802981,0.09704190506568462,0.1068455749250347,3,0.09735632956909776,0.0220261284393309,0.01101306421966545,0.04469758455514113,"{'1': {'mae': 0.10863144206181678, 'rmse': 0.12019941491567561, 'smape': 0.4512304834577354}, '2': {'mae': 0.09948797308772256, 'rmse': 0.10944752768186448, 'smape': 0.4488590006534122}, '4': {'mae': 0.08300630004751453, 'rmse': 0.090889782177564, 'smape': 0.4328209110580146}}",0.008939516911028227,0.21000000000000002,0.1,0.08,0.015,0.0,0.0,0.005,0.01,0.015,stability_aware,multi_split_mean_mae + multi_split_penalty + stability_penalty + complexity_penalty + age_prior_penalty,0.34230891069979147,False,True,True,True,True,"{'b0': -0.37565575685904784, 'b1': 3.8343572326406172, 'b2': 0.27822060726653014, 'sigma': 0.968382428519172, 'gamma': 0.5984880936889733, 'omega': 0.09036137353416626, 'rho': 32.00403089670816, 'alpha': 0.8798980902711021, 'S0': 0.9782352647594246, 'E0': 0.008457941934584743, 'I0': 0.013306793305990657, 'R0': 0.0, 'fractional': 1.0}",26,random_structure_discovery,30,30,44,1,2258
6,0,0:SEIHR|fractional=0|obs=delayed_I|delay=3,SEIHR|fractional=0|obs=delayed_I|delay=3,SEIHR,False,delayed_I,3,delayed,11,5,0.4760106406989487,0.4072343065886659,0.5601509359499434,0.10533525219084658,0.15430375500747595,0.30376977374568304,0.08100452025538529,0.11993602996857385,3,0.07532070816515458,0.06712777890804779,0.033563889454023894,0.08716176518885159,"{'1': {'mae': 0.1187409642511023, 'rmse': 0.19156821080140313, 'smape': 0.3184503703576348}, '2': {'mae': 0.0749458864774773, 'rmse': 0.11059959085555834, 'smape': 0.250225090610664}, '4': {'mae': 0.04932671003757627, 'rmse': 0.05764028824876009, 'smape': 0.19029146616975814}}",0.01743235303777032,0.22500000000000003,0.11,0.1,0.0,0.0,0.0,0.015,0.0,0.0,stability_aware,multi_split_mean_mae + multi_split_penalty + stability_penalty + complexity_penalty + age_prior_penalty,0.35131695065694885,False,True,True,True,True,"{'b0': 1.5285300431834248, 'b1': 2.611196337251369, 'b2': -1.4558845655295505, 'sigma': 0.9833376581450269, 'eta': 0.0699307199650386, 'gamma_i': 0.06698445504426362, 'gamma_h': 0.4971253735610803, 'rho': 15.417862853922175, 'S0': 0.8362628384620621, 'E0': 0.02269570888308891, 'I0': 0.01938167921827546, 'H0': 0.12165977343657358, 'R0': 0.0, 'fractional': 0.0}",6,random_structure_discovery,30,30,44,1,2258
29,0,0:SIR|fractional=1|obs=I,SIR|fractional=1|obs=I,SIR,True,I,0,infectious,7,3,0.25047269549975104,0.32236760070033316,0.3898766050888209,0.2122065365531637,0.2671261680692566,0.5278558481534836,0.14682504900340443,0.19190093549627682,3,0.13754464345566123,0.09856016878483095,0.04928008439241548,0.12273158129273441,"{'1': {'mae': 0.1820550170362, 'rmse': 0.24565963512051384, 'smape': 0.4597440826043163}, '2': {'mae': 0.15132120081205822, 'rmse': 0.2040372169646199, 'smape': 0.4172418192318041}, '4': {'mae': 0.10709892916195504, 'rmse': 0.12600595440369666, 'smape': 0.34626441292045246}}",0.024546316258546884,0.14500000000000002,0.07,0.06,0.015,0.0,0.0,0.0,0.0,-0.005,stability_aware,multi_split_mean_mae + multi_split_penalty + stability_penalty + complexity_penalty + age_prior_penalty,0.35137104410662356,False,True,True,True,True,"{'b0': 0.519308651633452, 'b1': 1.859661366549016, 'b2': -1.165774382615116, 'gamma': 0.6185506932243308, 'rho': 32.41253726172139, 'alpha': 0.7207470429605306, 'S0': 0.9800704874459658, 'I0': 0.019929512554034277, 'R0': 0.0, 'fractional': 1.0}",29,random_structure_discovery,30,30,44,1,2258
17,0,0:SEIAR|fractional=0|obs=delayed_I|delay=2,SEIAR|fractional=0|obs=delayed_I|delay=2,SEIAR,False,delayed_I,2,delayed,11,5,0.5036716302990967,0.40505885237489975,0.5549199182833685,0.10458430775430375,0.1533155856643568,0.30269718634252263,0.08428336643345234,0.12193799345790045,3,0.07964428539516624,0.0720858635952729,0.03604293179763645,0.08705159419834767,"{'1': {'mae': 0.1008354490033722, 'rmse': 0.15032850766157596, 'smape': 0.29659585327502846}, '2': {'mae': 0.10306781574092726, 'rmse': 0.158394365625558, 'smape': 0.3013314124972786}, '4': {'mae': 0.04894683455605754, 'rmse': 0.05709110708656735, 'smape': 0.18973883551074455}}",0.017410318839669533,0.22000000000000003,0.11,0.1,0.0,0.0,0.0,0.01,0.0,0.0,stability_aware,multi_split_mean_mae + multi_split_penalty + stability_penalty + complexity_penalty + age_prior_penalty,0.3530975360324723,False,True,True,True,True,"{'b0': 1.153311088877232, 'b1': 2.878398387511134, 'b2': -1.8923967144631202, 'sigma': 0.9845862451548801, 'p_asym': 0.037025599473201554, 'gamma_i': 0.137136936172425, 'gamma_a': 0.8011527169553933, 'rho': 15.050242971218854, 'S0': 0.9054256665603505, 'E0': 0.01959822581485602, 'I0': 0.0182529023967135, 'A0': 0.05672320522807996, 'R0': 0.0, 'fractional': 0.0}",17,random_structure_discovery,30,30,44,1,2258
1,0,0:SIR|fractional=1|obs=delayed_I|delay=1,SIR|fractional=1|obs=delayed_I|delay=1,SIR,True,delayed_I,1,delayed,7,3,0.2518017264771669,0.323354971816508,0.3894793572705487,0.21342981144378131,0.2687661672591399,0.5294671579486364,0.14670741899900716,0.19251108331898684,3,0.13732296437749503,0.09956811307219393,0.049784056536096966,0.12385024384683929,"{'1': {'mae': 0.18211142952741508, 'rmse': 0.24655213430185938, 'smape': 0.4586206051296139}, '2': {'mae': 0.15125071354996608, 'rmse': 0.20478233413521305, 'smape': 0.4159075624609039}, '4': {'mae': 0.10676011391964027, 'rmse': 0.12619878151988814, 'smape': 0.3445093510506399}}",0.02477004876936786,0.15000000000000002,0.07,0.06,0.015,0.0,0.0,0.005,0.0,-0.005,stability_aware,multi_split_mean_mae + multi_split_penalty + stability_penalty + complexity_penalty + age_prior_penalty,0.35687706968295985,False,True,True,True,True,"{'b0': 0.5209434887508245, 'b1': 1.9706619817077387, 'b2': -0.9358630227279567, 'gamma': 0.6145424365683453, 'rho': 32.11461458163388, 'alpha': 0.7215225024362942, 'S0': 0.9821577785311795, 'I0': 0.017842221468820613, 'R0': 0.0, 'fractional': 1.0}",1,random_structure_discovery,30,30,44,1,2258
5,0,0:SIR|fractional=1|obs=delayed_I|delay=3,SIR|fractional=1|obs=delayed_I|delay=3,SIR,True,delayed_I,3,delayed,7,3,0.25128482987175427,0.32204099487003135,0.38741909174584743,0.21111450723475783,0.266653783729367,0.5247251995062328,0.14437497348752312,0.19047322497887761,3,0.13503819185840993,0.09908902018073129,0.049544510090365645,0.12347152622422732,"{'1': {'mae': 0.17968985998952763, 'rmse': 0.2444714676867601, 'smape': 0.45315793358055567}, '2': {'mae': 0.14887596354963178, 'rmse': 0.20278174149248876, 'smape': 0.4101261394611029}, '4': {'mae': 0.10455909692340994, 'rmse': 0.12416646575738403, 'smape': 0.3382874763282477}}",0.024694305244845463,0.16000000000000003,0.07,0.06,0.015,0.0,0.0,0.015,0.0,-0.005,stability_aware,multi_split_mean_mae + multi_split_penalty + stability_penalty + complexity_penalty + age_prior_penalty,0.36427700719362105,False,True,True,True,True,"{'b0': 0.489110306969596, 'b1': 2.1646586389372677, 'b2': -0.45073673592622393, 'gamma': 0.6107385243300492, 'rho': 31.65260810097434, 'alpha': 0.721760251603504, 'S0': 0.9827368894013654, 'I0': 0.017263110598634723, 'R0': 0.0, 'fractional': 1.0}",5,random_structure_discovery,30,30,44,1,2258
27,0,0:SEIRS|fractional=1|obs=delayed_I|delay=3,SEIRS|fractional=1|obs=delayed_I|delay=3,SEIRS,True,delayed_I,3,delayed,10,4,0.34900033815671033,0.2606967336650029,0.3751608671057267,0.10110427741474956,0.11719247741929863,0.4063303962744941,0.10619118597961846,0.11411608438461678,3,0.10683500050379378,0.0296822663810668,0.0148411331905334,0.04153450474907736,"{'1': {'mae': 0.10487874779534652, 'rmse': 0.1136911950576351, 'smape': 0.448377754065187}, '2': {'mae': 0.12901092279257476, 'rmse': 0.1361122738535944, 'smape': 0.6352496030660352}, '4': {'mae': 0.08468388735093413, 'rmse': 0.0925447842426208, 'smape': 0.4447385226508733}}",0.008306900949815474,0.22000000000000003,0.1,0.08,0.015,0.0,0.0,0.015,0.01,0.015,stability_aware,multi_split_mean_mae + multi_split_penalty + stability_penalty + complexity_penalty + age_prior_penalty,0.3649830346441427,False,True,True,True,True,"{'b0': -0.23484060083953587, 'b1': 3.3211287631137645, 'b2': 1.2503064819819178, 'sigma': 0.9682039566620609, 'gamma': 0.6040782645000122, 'omega': 0.09735430200878814, 'rho': 32.025936992659574, 'alpha': 0.8824190458267478, 'S0': 0.9778555139699506, 'E0': 0.010999682421387281, 'I0': 0.011144803608661987, 'R0': 0.0, 'fractional': 1.0}",27,random_structure_discovery,30,30,44,1,2258
2,0,0:SEIRS|fractional=0|obs=delayed_I|delay=1,SEIRS|fractional=0|obs=delayed_I|delay=1,SEIRS,False,delayed_I,1,delayed,9,4,0.3611599437357873,0.27978402818320186,0.39533588895033067,0.16456771512993984,0.16858078438673849,0.9761286530748606,0.16975135100870306,0.17375388187682236,3,0.17157584843569998,0.018082522514627143,0.009041261257313572,0.03702496284762836,"{'1': {'mae': 0.16381971985751367, 'rmse': 0.16825093017614612, 'smape': 0.9610995156987977}, '2': {'mae': 0.1694370497545804, 'rmse': 0.17336917292000698, 'smape': 1.0444655462886596}, '4': {'mae': 0.17599728341401508, 'rmse': 0.17964154253431402, 'smape': 1.2136589471701351}}",0.007404992569525672,0.185,0.09,0.08,0.0,0.0,0.0,0.005,0.01,0.01,stability_aware,multi_split_mean_mae + multi_split_penalty + stability_penalty + complexity_penalty + age_prior_penalty,0.38302210226253924,False,True,True,True,True,"{'b0': -1.469483874786562, 'b1': 3.8980756978435727, 'b2': 0.6879877906711666, 'sigma': 0.9646504024934016, 'gamma': 0.3075148486913404, 'omega': 0.10509582655874959, 'rho': 19.79813803275154, 'S0': 0.9702120737019222, 'E0': 0.015326502818851282, 'I0': 0.014461423479226633, 'R0': 0.0, 'fractional': 0.0}",2,random_structure_discovery,30,30,44,1,2258
3,0,0:SEIRS|fractional=0|obs=delayed_I|delay=3,SEIRS|fractional=0|obs=delayed_I|delay=3,SEIRS,False,delayed_I,3,delayed,9,4,0.3494379329447269,0.2823534607539906,0.40407750188653824,0.16493357978991435,0.16879141867097325,0.9769792341700617,0.17000751058718003,0.17392318949654165,3,0.1718262718188278,0.017930004811917227,0.008965002405958614,0.03666013778926993,"{'1': {'mae': 0.1642816306644574, 'rmse': 0.16854993552849165, 'smape': 0.962131020132977}, '2': {'mae': 0.1696933431759341, 'rmse': 0.17349657728622686, 'smape': 1.045779054878317}, '4': {'mae': 0.17604755792114865, 'rmse': 0.17972305567490643, 'smape': 1.2157544821465085}}",0.007332027557853987,0.195,0.09,0.08,0.0,0.0,0.0,0.015,0.01,0.01,stability_aware,multi_split_mean_mae + multi_split_penalty + stability_penalty + complexity_penalty + age_prior_penalty,0.39312330178264043,False,True,True,True,True,"{'b0': -1.2192934074720383, 'b1': 3.1575949979062323, 'b2': 1.6554101748759718, 'sigma': 0.9582082917791019, 'gamma': 0.3155231366137736, 'omega': 0.11513834341656977, 'rho': 19.928002841359536, 'S0': 0.9692161471718126, 'E0': 0.015934475887083924, 'I0': 0.014849376941103427, 'R0': 0.0, 'fractional': 0.0}",3,random_structure_discovery,30,30,44,1,2258
