CATCHMENT,NETWORK,YEAR,YEAR.1,WEEK,AGE CATEGORY,SEX CATEGORY,RACE CATEGORY,VIRUS TYPE CATEGORY,CUMULATIVE RATE,WEEKLY RATE,AGE ADJUSTED CUMULATIVE RATE,AGE ADJUSTED WEEKLY RATE,season,t,series_name
Entire Network,FluSurv-NET,2019-20,2019,40,0-4 yr,Overall,Overall,Overall,0.0,0.1,,,2019-20,0,2019-20 / 0-4 yr
Entire Network,FluSurv-NET,2019-20,2019,41,0-4 yr,Overall,Overall,Overall,0.0,0.2,,,2019-20,1,2019-20 / 0-4 yr
Entire Network,FluSurv-NET,2019-20,2019,42,0-4 yr,Overall,Overall,Overall,0.0,0.2,,,2019-20,2,2019-20 / 0-4 yr
Entire Network,FluSurv-NET,2019-20,2019,43,0-4 yr,Overall,Overall,Overall,1.0,0.5,,,2019-20,3,2019-20 / 0-4 yr
Entire Network,FluSurv-NET,2019-20,2019,44,0-4 yr,Overall,Overall,Overall,1.0,0.4,,,2019-20,4,2019-20 / 0-4 yr
Entire Network,FluSurv-NET,2019-20,2019,45,0-4 yr,Overall,Overall,Overall,2.0,0.3,,,2019-20,5,2019-20 / 0-4 yr
Entire Network,FluSurv-NET,2019-20,2019,46,0-4 yr,Overall,Overall,Overall,3.0,0.8,,,2019-20,6,2019-20 / 0-4 yr
Entire Network,FluSurv-NET,2019-20,2019,47,0-4 yr,Overall,Overall,Overall,4.0,1.1,,,2019-20,7,2019-20 / 0-4 yr
Entire Network,FluSurv-NET,2019-20,2019,48,0-4 yr,Overall,Overall,Overall,6.0,2.0,,,2019-20,8,2019-20 / 0-4 yr
Entire Network,FluSurv-NET,2019-20,2019,49,0-4 yr,Overall,Overall,Overall,8.0,2.5,,,2019-20,9,2019-20 / 0-4 yr
Entire Network,FluSurv-NET,2019-20,2019,50,0-4 yr,Overall,Overall,Overall,11.0,3.1,,,2019-20,10,2019-20 / 0-4 yr
Entire Network,FluSurv-NET,2019-20,2019,51,0-4 yr,Overall,Overall,Overall,15.0,4.2,,,2019-20,11,2019-20 / 0-4 yr
Entire Network,FluSurv-NET,2019-20,2019,52,0-4 yr,Overall,Overall,Overall,22.0,7.0,,,2019-20,12,2019-20 / 0-4 yr
Entire Network,FluSurv-NET,2019-20,2020,1,0-4 yr,Overall,Overall,Overall,32.0,9.0,,,2019-20,13,2019-20 / 0-4 yr
Entire Network,FluSurv-NET,2019-20,2020,2,0-4 yr,Overall,Overall,Overall,38.0,6.3,,,2019-20,14,2019-20 / 0-4 yr
Entire Network,FluSurv-NET,2019-20,2020,3,0-4 yr,Overall,Overall,Overall,44.0,5.8,,,2019-20,15,2019-20 / 0-4 yr
Entire Network,FluSurv-NET,2019-20,2020,4,0-4 yr,Overall,Overall,Overall,50.0,6.8,,,2019-20,16,2019-20 / 0-4 yr
Entire Network,FluSurv-NET,2019-20,2020,5,0-4 yr,Overall,Overall,Overall,58.0,7.6,,,2019-20,17,2019-20 / 0-4 yr
Entire Network,FluSurv-NET,2019-20,2020,6,0-4 yr,Overall,Overall,Overall,67.0,8.4,,,2019-20,18,2019-20 / 0-4 yr
Entire Network,FluSurv-NET,2019-20,2020,7,0-4 yr,Overall,Overall,Overall,72.0,5.5,,,2019-20,19,2019-20 / 0-4 yr
Entire Network,FluSurv-NET,2019-20,2020,8,0-4 yr,Overall,Overall,Overall,79.0,6.9,,,2019-20,20,2019-20 / 0-4 yr
Entire Network,FluSurv-NET,2019-20,2020,9,0-4 yr,Overall,Overall,Overall,83.0,4.2,,,2019-20,21,2019-20 / 0-4 yr
Entire Network,FluSurv-NET,2019-20,2020,10,0-4 yr,Overall,Overall,Overall,88.0,4.7,,,2019-20,22,2019-20 / 0-4 yr
Entire Network,FluSurv-NET,2019-20,2020,11,0-4 yr,Overall,Overall,Overall,90.0,2.5,,,2019-20,23,2019-20 / 0-4 yr
Entire Network,FluSurv-NET,2019-20,2020,12,0-4 yr,Overall,Overall,Overall,91.0,0.8,,,2019-20,24,2019-20 / 0-4 yr
Entire Network,FluSurv-NET,2019-20,2020,13,0-4 yr,Overall,Overall,Overall,91.0,0.2,,,2019-20,25,2019-20 / 0-4 yr
Entire Network,FluSurv-NET,2019-20,2020,14,0-4 yr,Overall,Overall,Overall,91.0,0.1,,,2019-20,26,2019-20 / 0-4 yr
Entire Network,FluSurv-NET,2019-20,2020,15,0-4 yr,Overall,Overall,Overall,91.0,0.0,,,2019-20,27,2019-20 / 0-4 yr
Entire Network,FluSurv-NET,2019-20,2020,16,0-4 yr,Overall,Overall,Overall,91.0,0.0,,,2019-20,28,2019-20 / 0-4 yr
Entire Network,FluSurv-NET,2019-20,2020,17,0-4 yr,Overall,Overall,Overall,91.0,0.0,,,2019-20,29,2019-20 / 0-4 yr
Entire Network,FluSurv-NET,2019-20,2020,18,0-4 yr,Overall,Overall,Overall,91.0,0.0,,,2019-20,30,2019-20 / 0-4 yr
