delay,validation_mae,validation_rmse,validation_smape
0,0.3934789637059482,0.4219943457749115,0.9739569142620695
1,0.3939412758472463,0.4224385504559282,0.9745156807758297
2,0.3954656284320981,0.42390123150627873,0.9763582014665622
3,0.3980024830296812,0.4263341140669538,0.9794140320914471
