series_name,model_name,test_mae,test_rmse,test_smape,num_free_params,num_compartments
18-49 yr,last_observed,0.009090909090909092,0.030151134457776365,0.18181816363636547,0,0
18-49 yr,arima_auto_small,0.009090909090909092,0.030151134457776365,0.18181816363636547,0,0
18-49 yr,validation_only_structure_selection,0.015232237591090948,0.02783766466436298,1.9628446825463621,10,4
18-49 yr,equal_weight_point_ensemble,0.039745240781354385,0.04038761563884065,1.8806974621650043,0,0
18-49 yr,hospitalized_seihr,0.04465548135688557,0.048593049045009676,1.8424805023162707,11,5
18-49 yr,delayed_observation_seir,0.04481853725173071,0.0487866222727623,1.8421170809964225,8,4
18-49 yr,deterministic_seir,0.04484694525872815,0.048815902643451474,1.842075890696701,8,4
18-49 yr,probabilistic_seir,0.04668927708909911,0.05097802558704968,1.8382726198032253,9,4
18-49 yr,no_stability_discovery,0.04801701267792318,0.05258531288059663,1.8354926739639226,6,3
18-49 yr,exhaustive_structure_discovery,0.04801732690337539,0.052585694246185526,1.8354920296988226,6,3
18-49 yr,no_observation_search_discovery,0.048017473073821544,0.052585872032458535,1.8354917283166978,6,3
18-49 yr,constrained_structure_discovery,0.04801753450954161,0.05258594545856019,1.835491607352703,6,3
18-49 yr,random_structure_discovery,0.0485998952509874,0.05328926195150204,1.8343264192162791,6,3
18-49 yr,rolling_mean_2wk,0.05,0.05000000000000001,1.8787875111111842,0,0
18-49 yr,rolling_mean_4wk,0.05,0.05000000000000001,1.8787875111111842,0,0
18-49 yr,lagged_ridge,0.05,0.05000000000000001,1.8787875111111842,0,0
18-49 yr,lagged_gradient_boosting,0.05,0.05000000000000001,1.8787875111111842,0,0
18-49 yr,fractional_seir,0.07863093859270323,0.08290034167928312,1.8258492212466761,9,4
