series_name,age_family,model_name,split,horizon,calibration_kind,interval_level,nominal_coverage,empirical_coverage,coverage_gap,abs_coverage_gap,average_interval_width,interval_score_mean,interval_score_median,residual_source_used,calibration_points,pooled_horizons_used,pooled_age_family_used,global_pooling_used,uncertainty_method,uncertainty_draws,artifact_dir
0-4 yr,children,probabilistic_seir,validation,static,raw,50,0.5,0.5,0.0,0.0,0.39348616593969216,0.9124870979918251,0.6953367488834064,none,0,False,False,False,bootstrap,30,/scrfs/storage/zwang/home/agentic_flu_model_discovery/artifacts_age_robustness/robustness/0_4_yr/probabilistic_seir
0-4 yr,children,probabilistic_seir,validation,static,scale_calibrated,50,0.5,0.5,0.0,0.0,0.36397470349421523,0.9171053009519703,0.7102015230750859,same_series_static_validation,10,False,False,False,bootstrap,30,/scrfs/storage/zwang/home/agentic_flu_model_discovery/artifacts_age_robustness/robustness/0_4_yr/probabilistic_seir
0-4 yr,children,probabilistic_seir,validation,static,conformal_absolute,80,0.8,0.8,0.0,0.0,0.999203283114487,1.197251952242653,1.0391418278850613,same_series_pooled_horizons,26,True,False,False,bootstrap,30,/scrfs/storage/zwang/home/agentic_flu_model_discovery/artifacts_age_robustness/robustness/0_4_yr/probabilistic_seir
0-4 yr,children,probabilistic_seir,validation,static,conformal_asymmetric,80,0.8,0.8,0.0,0.0,0.7052652210101781,1.0539981857707776,0.7829509496345533,age_family_static,20,True,True,False,bootstrap,30,/scrfs/storage/zwang/home/agentic_flu_model_discovery/artifacts_age_robustness/robustness/0_4_yr/probabilistic_seir
0-4 yr,children,probabilistic_seir,validation,static,conformal_standardized,80,0.8,0.7,-0.10000000000000009,0.10000000000000009,0.763974902120889,1.123579923241394,0.8490460663752677,age_family_static,20,True,True,False,bootstrap,30,/scrfs/storage/zwang/home/agentic_flu_model_discovery/artifacts_age_robustness/robustness/0_4_yr/probabilistic_seir
0-4 yr,children,probabilistic_seir,validation,static,raw,80,0.8,0.8,0.0,0.0,0.7023733737745984,1.06057013101031,0.7805850015157754,none,0,False,False,False,bootstrap,30,/scrfs/storage/zwang/home/agentic_flu_model_discovery/artifacts_age_robustness/robustness/0_4_yr/probabilistic_seir
0-4 yr,children,probabilistic_seir,validation,static,scale_calibrated,80,0.8,0.8,0.0,0.0,0.6321360363971387,1.0566339767381607,0.7025265013641978,same_series_static_validation,10,False,False,False,bootstrap,30,/scrfs/storage/zwang/home/agentic_flu_model_discovery/artifacts_age_robustness/robustness/0_4_yr/probabilistic_seir
0-4 yr,children,probabilistic_seir,validation,static,conformal_absolute,95,0.95,0.9,-0.04999999999999993,0.04999999999999993,1.1531941307779323,1.2988969241501096,1.1993586839978998,same_series_pooled_horizons,26,True,False,False,bootstrap,30,/scrfs/storage/zwang/home/agentic_flu_model_discovery/artifacts_age_robustness/robustness/0_4_yr/probabilistic_seir
0-4 yr,children,probabilistic_seir,validation,static,conformal_asymmetric,95,0.95,1.0,0.050000000000000044,0.050000000000000044,1.1158084721192079,1.1158084721192079,1.1153458580498992,age_family_static,20,True,True,False,bootstrap,30,/scrfs/storage/zwang/home/agentic_flu_model_discovery/artifacts_age_robustness/robustness/0_4_yr/probabilistic_seir
0-4 yr,children,probabilistic_seir,validation,static,conformal_standardized,95,0.95,1.0,0.050000000000000044,0.050000000000000044,1.1567386750077449,1.1567386750077449,1.1415145758442826,age_family_static,20,True,True,False,bootstrap,30,/scrfs/storage/zwang/home/agentic_flu_model_discovery/artifacts_age_robustness/robustness/0_4_yr/probabilistic_seir
