CATCHMENT,NETWORK,YEAR,YEAR.1,WEEK,AGE CATEGORY,SEX CATEGORY,RACE CATEGORY,VIRUS TYPE CATEGORY,CUMULATIVE RATE,WEEKLY RATE,AGE ADJUSTED CUMULATIVE RATE,AGE ADJUSTED WEEKLY RATE,season,t,series_name
Entire Network,FluSurv-NET,2022-23,2022,40,>= 65 yr,Overall,Overall,Overall,1.0,0.8,,,2022-23,0,2022-23 / >= 65 yr
Entire Network,FluSurv-NET,2022-23,2022,41,>= 65 yr,Overall,Overall,Overall,2.0,1.2,,,2022-23,1,2022-23 / >= 65 yr
Entire Network,FluSurv-NET,2022-23,2022,42,>= 65 yr,Overall,Overall,Overall,4.0,2.1,,,2022-23,2,2022-23 / >= 65 yr
Entire Network,FluSurv-NET,2022-23,2022,43,>= 65 yr,Overall,Overall,Overall,8.0,3.8,,,2022-23,3,2022-23 / >= 65 yr
Entire Network,FluSurv-NET,2022-23,2022,44,>= 65 yr,Overall,Overall,Overall,13.0,5.1,,,2022-23,4,2022-23 / >= 65 yr
Entire Network,FluSurv-NET,2022-23,2022,45,>= 65 yr,Overall,Overall,Overall,21.0,7.7,,,2022-23,5,2022-23 / >= 65 yr
Entire Network,FluSurv-NET,2022-23,2022,46,>= 65 yr,Overall,Overall,Overall,31.0,9.7,,,2022-23,6,2022-23 / >= 65 yr
Entire Network,FluSurv-NET,2022-23,2022,47,>= 65 yr,Overall,Overall,Overall,49.0,18.4,,,2022-23,7,2022-23 / >= 65 yr
Entire Network,FluSurv-NET,2022-23,2022,48,>= 65 yr,Overall,Overall,Overall,75.0,26.1,,,2022-23,8,2022-23 / >= 65 yr
Entire Network,FluSurv-NET,2022-23,2022,49,>= 65 yr,Overall,Overall,Overall,97.0,22.2,,,2022-23,9,2022-23 / >= 65 yr
Entire Network,FluSurv-NET,2022-23,2022,50,>= 65 yr,Overall,Overall,Overall,116.0,18.3,,,2022-23,10,2022-23 / >= 65 yr
Entire Network,FluSurv-NET,2022-23,2022,51,>= 65 yr,Overall,Overall,Overall,132.0,16.9,,,2022-23,11,2022-23 / >= 65 yr
Entire Network,FluSurv-NET,2022-23,2022,52,>= 65 yr,Overall,Overall,Overall,151.0,18.1,,,2022-23,12,2022-23 / >= 65 yr
Entire Network,FluSurv-NET,2022-23,2023,1,>= 65 yr,Overall,Overall,Overall,161.0,10.7,,,2022-23,13,2022-23 / >= 65 yr
Entire Network,FluSurv-NET,2022-23,2023,2,>= 65 yr,Overall,Overall,Overall,165.0,4.1,,,2022-23,14,2022-23 / >= 65 yr
Entire Network,FluSurv-NET,2022-23,2023,3,>= 65 yr,Overall,Overall,Overall,168.0,2.4,,,2022-23,15,2022-23 / >= 65 yr
Entire Network,FluSurv-NET,2022-23,2023,4,>= 65 yr,Overall,Overall,Overall,169.0,1.4,,,2022-23,16,2022-23 / >= 65 yr
Entire Network,FluSurv-NET,2022-23,2023,5,>= 65 yr,Overall,Overall,Overall,171.0,1.5,,,2022-23,17,2022-23 / >= 65 yr
Entire Network,FluSurv-NET,2022-23,2023,6,>= 65 yr,Overall,Overall,Overall,172.0,1.0,,,2022-23,18,2022-23 / >= 65 yr
Entire Network,FluSurv-NET,2022-23,2023,7,>= 65 yr,Overall,Overall,Overall,173.0,1.1,,,2022-23,19,2022-23 / >= 65 yr
Entire Network,FluSurv-NET,2022-23,2023,8,>= 65 yr,Overall,Overall,Overall,173.0,0.8,,,2022-23,20,2022-23 / >= 65 yr
Entire Network,FluSurv-NET,2022-23,2023,9,>= 65 yr,Overall,Overall,Overall,174.0,0.7,,,2022-23,21,2022-23 / >= 65 yr
Entire Network,FluSurv-NET,2022-23,2023,10,>= 65 yr,Overall,Overall,Overall,175.0,0.8,,,2022-23,22,2022-23 / >= 65 yr
Entire Network,FluSurv-NET,2022-23,2023,11,>= 65 yr,Overall,Overall,Overall,176.0,0.6,,,2022-23,23,2022-23 / >= 65 yr
Entire Network,FluSurv-NET,2022-23,2023,12,>= 65 yr,Overall,Overall,Overall,176.0,0.6,,,2022-23,24,2022-23 / >= 65 yr
Entire Network,FluSurv-NET,2022-23,2023,13,>= 65 yr,Overall,Overall,Overall,177.0,0.6,,,2022-23,25,2022-23 / >= 65 yr
Entire Network,FluSurv-NET,2022-23,2023,14,>= 65 yr,Overall,Overall,Overall,177.0,0.5,,,2022-23,26,2022-23 / >= 65 yr
Entire Network,FluSurv-NET,2022-23,2023,15,>= 65 yr,Overall,Overall,Overall,178.0,0.5,,,2022-23,27,2022-23 / >= 65 yr
Entire Network,FluSurv-NET,2022-23,2023,16,>= 65 yr,Overall,Overall,Overall,178.0,0.6,,,2022-23,28,2022-23 / >= 65 yr
Entire Network,FluSurv-NET,2022-23,2023,17,>= 65 yr,Overall,Overall,Overall,179.0,0.2,,,2022-23,29,2022-23 / >= 65 yr
Entire Network,FluSurv-NET,2022-23,2023,18,>= 65 yr,Overall,Overall,Overall,179.0,0.1,,,2022-23,30,2022-23 / >= 65 yr
