CATCHMENT,NETWORK,YEAR,YEAR.1,WEEK,AGE CATEGORY,SEX CATEGORY,RACE CATEGORY,VIRUS TYPE CATEGORY,CUMULATIVE RATE,WEEKLY RATE,AGE ADJUSTED CUMULATIVE RATE,AGE ADJUSTED WEEKLY RATE,season,t,series_name
Entire Network,FluSurv-NET,2024-25,2024,40,0-4 yr,Overall,Overall,Overall,0.0,0.0,,,2024-25,0,2024-25 / 0-4 yr
Entire Network,FluSurv-NET,2024-25,2024,41,0-4 yr,Overall,Overall,Overall,0.0,0.1,,,2024-25,1,2024-25 / 0-4 yr
Entire Network,FluSurv-NET,2024-25,2024,42,0-4 yr,Overall,Overall,Overall,0.0,0.1,,,2024-25,2,2024-25 / 0-4 yr
Entire Network,FluSurv-NET,2024-25,2024,43,0-4 yr,Overall,Overall,Overall,0.0,0.1,,,2024-25,3,2024-25 / 0-4 yr
Entire Network,FluSurv-NET,2024-25,2024,44,0-4 yr,Overall,Overall,Overall,1.0,0.2,,,2024-25,4,2024-25 / 0-4 yr
Entire Network,FluSurv-NET,2024-25,2024,45,0-4 yr,Overall,Overall,Overall,1.0,0.4,,,2024-25,5,2024-25 / 0-4 yr
Entire Network,FluSurv-NET,2024-25,2024,46,0-4 yr,Overall,Overall,Overall,1.0,0.4,,,2024-25,6,2024-25 / 0-4 yr
Entire Network,FluSurv-NET,2024-25,2024,47,0-4 yr,Overall,Overall,Overall,2.0,0.5,,,2024-25,7,2024-25 / 0-4 yr
Entire Network,FluSurv-NET,2024-25,2024,48,0-4 yr,Overall,Overall,Overall,3.0,0.7,,,2024-25,8,2024-25 / 0-4 yr
Entire Network,FluSurv-NET,2024-25,2024,49,0-4 yr,Overall,Overall,Overall,3.0,0.8,,,2024-25,9,2024-25 / 0-4 yr
Entire Network,FluSurv-NET,2024-25,2024,50,0-4 yr,Overall,Overall,Overall,5.0,1.6,,,2024-25,10,2024-25 / 0-4 yr
Entire Network,FluSurv-NET,2024-25,2024,51,0-4 yr,Overall,Overall,Overall,8.0,3.4,,,2024-25,11,2024-25 / 0-4 yr
Entire Network,FluSurv-NET,2024-25,2024,52,0-4 yr,Overall,Overall,Overall,16.0,7.4,,,2024-25,12,2024-25 / 0-4 yr
Entire Network,FluSurv-NET,2024-25,2025,1,0-4 yr,Overall,Overall,Overall,24.0,7.8,,,2024-25,13,2024-25 / 0-4 yr
Entire Network,FluSurv-NET,2024-25,2025,2,0-4 yr,Overall,Overall,Overall,31.0,7.1,,,2024-25,14,2024-25 / 0-4 yr
Entire Network,FluSurv-NET,2024-25,2025,3,0-4 yr,Overall,Overall,Overall,40.0,8.9,,,2024-25,15,2024-25 / 0-4 yr
Entire Network,FluSurv-NET,2024-25,2025,4,0-4 yr,Overall,Overall,Overall,49.0,9.0,,,2024-25,16,2024-25 / 0-4 yr
Entire Network,FluSurv-NET,2024-25,2025,5,0-4 yr,Overall,Overall,Overall,58.0,9.3,,,2024-25,17,2024-25 / 0-4 yr
Entire Network,FluSurv-NET,2024-25,2025,6,0-4 yr,Overall,Overall,Overall,68.0,10.3,,,2024-25,18,2024-25 / 0-4 yr
Entire Network,FluSurv-NET,2024-25,2025,7,0-4 yr,Overall,Overall,Overall,78.0,9.9,,,2024-25,19,2024-25 / 0-4 yr
Entire Network,FluSurv-NET,2024-25,2025,8,0-4 yr,Overall,Overall,Overall,84.0,6.2,,,2024-25,20,2024-25 / 0-4 yr
Entire Network,FluSurv-NET,2024-25,2025,9,0-4 yr,Overall,Overall,Overall,89.0,5.1,,,2024-25,21,2024-25 / 0-4 yr
Entire Network,FluSurv-NET,2024-25,2025,10,0-4 yr,Overall,Overall,Overall,92.0,3.1,,,2024-25,22,2024-25 / 0-4 yr
Entire Network,FluSurv-NET,2024-25,2025,11,0-4 yr,Overall,Overall,Overall,96.0,3.1,,,2024-25,23,2024-25 / 0-4 yr
Entire Network,FluSurv-NET,2024-25,2025,12,0-4 yr,Overall,Overall,Overall,98.0,2.5,,,2024-25,24,2024-25 / 0-4 yr
Entire Network,FluSurv-NET,2024-25,2025,13,0-4 yr,Overall,Overall,Overall,100.0,1.6,,,2024-25,25,2024-25 / 0-4 yr
Entire Network,FluSurv-NET,2024-25,2025,14,0-4 yr,Overall,Overall,Overall,101.0,1.6,,,2024-25,26,2024-25 / 0-4 yr
Entire Network,FluSurv-NET,2024-25,2025,15,0-4 yr,Overall,Overall,Overall,103.0,1.6,,,2024-25,27,2024-25 / 0-4 yr
Entire Network,FluSurv-NET,2024-25,2025,16,0-4 yr,Overall,Overall,Overall,103.0,0.4,,,2024-25,28,2024-25 / 0-4 yr
Entire Network,FluSurv-NET,2024-25,2025,17,0-4 yr,Overall,Overall,Overall,104.0,0.5,,,2024-25,29,2024-25 / 0-4 yr
Entire Network,FluSurv-NET,2024-25,2025,18,0-4 yr,Overall,Overall,Overall,104.0,0.2,,,2024-25,30,2024-25 / 0-4 yr
