CATCHMENT,NETWORK,YEAR,YEAR.1,WEEK,AGE CATEGORY,SEX CATEGORY,RACE CATEGORY,VIRUS TYPE CATEGORY,CUMULATIVE RATE,WEEKLY RATE,AGE ADJUSTED CUMULATIVE RATE,AGE ADJUSTED WEEKLY RATE,season,t,series_name
Entire Network,FluSurv-NET,2023-24,2023,40,0-4 yr,Overall,Overall,Overall,0.0,0.4,,,2023-24,0,2023-24 / 0-4 yr
Entire Network,FluSurv-NET,2023-24,2023,41,0-4 yr,Overall,Overall,Overall,1.0,0.2,,,2023-24,1,2023-24 / 0-4 yr
Entire Network,FluSurv-NET,2023-24,2023,42,0-4 yr,Overall,Overall,Overall,1.0,0.3,,,2023-24,2,2023-24 / 0-4 yr
Entire Network,FluSurv-NET,2023-24,2023,43,0-4 yr,Overall,Overall,Overall,1.0,0.2,,,2023-24,3,2023-24 / 0-4 yr
Entire Network,FluSurv-NET,2023-24,2023,44,0-4 yr,Overall,Overall,Overall,2.0,0.8,,,2023-24,4,2023-24 / 0-4 yr
Entire Network,FluSurv-NET,2023-24,2023,45,0-4 yr,Overall,Overall,Overall,3.0,0.8,,,2023-24,5,2023-24 / 0-4 yr
Entire Network,FluSurv-NET,2023-24,2023,46,0-4 yr,Overall,Overall,Overall,4.0,0.7,,,2023-24,6,2023-24 / 0-4 yr
Entire Network,FluSurv-NET,2023-24,2023,47,0-4 yr,Overall,Overall,Overall,5.0,1.2,,,2023-24,7,2023-24 / 0-4 yr
Entire Network,FluSurv-NET,2023-24,2023,48,0-4 yr,Overall,Overall,Overall,7.0,2.3,,,2023-24,8,2023-24 / 0-4 yr
Entire Network,FluSurv-NET,2023-24,2023,49,0-4 yr,Overall,Overall,Overall,9.0,2.2,,,2023-24,9,2023-24 / 0-4 yr
Entire Network,FluSurv-NET,2023-24,2023,50,0-4 yr,Overall,Overall,Overall,14.0,4.6,,,2023-24,10,2023-24 / 0-4 yr
Entire Network,FluSurv-NET,2023-24,2023,51,0-4 yr,Overall,Overall,Overall,20.0,6.5,,,2023-24,11,2023-24 / 0-4 yr
Entire Network,FluSurv-NET,2023-24,2023,52,0-4 yr,Overall,Overall,Overall,28.0,7.4,,,2023-24,12,2023-24 / 0-4 yr
