series_name,model_name,test_mae,test_rmse,test_smape,num_free_params,num_compartments
Overall,delayed_observation_seir,0.03507646992012179,0.04101008024765416,0.4726234565929157,8,4
Overall,deterministic_seir,0.035122575423632556,0.04109156015111345,0.4724646611236286,8,4
Overall,hospitalized_seihr,0.03611160727564747,0.04298322199142862,0.46920823783605525,11,5
Overall,probabilistic_seir,0.0368224678800561,0.044429411811975815,0.46785537791826426,9,4
Overall,exhaustive_structure_discovery,0.03696720025847544,0.04465862757928767,0.46754901105012986,6,3
Overall,no_stability_discovery,0.036967265514723804,0.04465871525258031,0.46754915694834626,6,3
Overall,random_structure_discovery,0.036967269149987374,0.04465872026070247,0.46754914349729976,6,3
Overall,constrained_structure_discovery,0.03696734613268279,0.04465882361389327,0.46754932871601906,6,3
Overall,no_observation_search_discovery,0.07025286462014352,0.0724375492524079,1.2918043111526882,10,4
Overall,validation_only_structure_selection,0.07484452106794912,0.07742136530186955,1.4226924406029722,10,4
Overall,equal_weight_point_ensemble,0.07792998266582173,0.08233859961772663,0.6535515038599118,0,0
Overall,fractional_seir,0.08478083750289968,0.09186165867086943,0.6845052237052718,9,4
Overall,last_observed,0.10909090909090909,0.11281521496355326,0.7878787585858599,0,0
Overall,rolling_mean_2wk,0.10909090909090909,0.11281521496355326,0.7878787585858599,0,0
Overall,rolling_mean_4wk,0.10909090909090909,0.11281521496355326,0.7878787585858599,0,0
Overall,arima_auto_small,0.10909090909090909,0.11281521496355326,0.7878787585858599,0,0
Overall,lagged_ridge,0.10909090909090909,0.11281521496355326,0.7878787585858599,0,0
Overall,lagged_gradient_boosting,0.10909090909090909,0.11281521496355326,0.7878787585858599,0,0
