round,repeat,record_key,spec_key,structure_name,fractional,observation_map,delay_weeks,observation_family,num_free_params,num_compartments,train_objective,train_mae,train_rmse,val_mae,val_rmse,val_smape,rolling_val_mean_mae,rolling_val_mean_rmse,multi_split_blocks,multi_split_val_mean_mae,multi_split_val_std_mae,multi_split_penalty,rolling_val_error_std,rolling_val_metrics,stability_penalty,complexity_penalty,complexity_penalty_params,complexity_penalty_compartments,complexity_penalty_fractional,complexity_penalty_observation,complexity_penalty_h_observation,complexity_penalty_delay,complexity_penalty_recurrence,age_prior_penalty,score_policy,score_formula,score,score_used_val_mae,score_used_multi_split,score_used_stability,score_used_complexity,score_used_age_prior,params,candidate_universe_size,candidate_budget_actual,observation_map_filter,search_name,candidate_count
1,,SEIRS|fractional=1|obs=I,SEIRS|fractional=1|obs=I,SEIRS,True,I,0,infectious,10,4,0.27070273780418713,0.177586493124946,0.2496797296977499,0.09398736982705265,0.10037896815053068,0.5602934961779067,0.12839162403456691,0.1321098479567037,3,0.13009119729940335,0.020117873763081995,0.010058936881540997,0.02962279811668637,"{'1': {'mae': 0.11914561553317707, 'rmse': 0.12497027236356986, 'smape': 0.7687457166272605}, '2': {'mae': 0.12822414985326078, 'rmse': 0.13231746139143197, 'smape': 0.8545160727718374}, '4': {'mae': 0.13780510671726293, 'rmse': 0.13904181011510933, 'smape': 1.0018380412349757}}",0.005924559623337274,0.20500000000000002,0.1,0.08,0.015,0.0,0.0,0.0,0.01,0.015,stability_aware,multi_split_mean_mae + multi_split_penalty + stability_penalty + complexity_penalty + age_prior_penalty,0.36607469380428165,False,True,True,True,True,"{'b0': -0.4670590540247433, 'b1': 3.713103088435245, 'b2': 0.06503189358235088, 'sigma': 0.9634968278243707, 'gamma': 0.6401048109665207, 'omega': 0.15687026165122137, 'rho': 25.425334161304963, 'alpha': 0.9068155619401005, 'S0': 0.9748111329663705, 'E0': 0.00772475674773825, 'I0': 0.017464110285891125, 'R0': 0.0, 'fractional': 1.0}",44,10,I,no_observation_search_discovery,10
1,,SEIR|fractional=0|obs=I,SEIR|fractional=0|obs=I,SEIR,False,I,0,infectious,8,4,0.3436935439381211,0.31632591548627015,0.4446154320404741,0.19968648431392344,0.22321517874303862,0.5396443432488921,0.1582222645257749,0.18404467859842352,3,0.15020898168041127,0.08733746265620491,0.04366873132810246,0.09399200122707334,"{'1': {'mae': 0.17789000309874753, 'rmse': 0.20693446393250534, 'smape': 0.481566084624159}, '2': {'mae': 0.16467175697390105, 'rmse': 0.19287513757851638, 'smape': 0.4773933989580581}, '4': {'mae': 0.13210503350467612, 'rmse': 0.15232443428424877, 'smape': 0.4405699681344716}}",0.018798400245414668,0.16,0.08,0.08,0.0,0.0,0.0,0.0,0.0,-0.005,stability_aware,multi_split_mean_mae + multi_split_penalty + stability_penalty + complexity_penalty + age_prior_penalty,0.36767611325392835,False,True,True,True,True,"{'b0': 0.7914603772173078, 'b1': 2.115071253539824, 'b2': -2.044972170449315, 'sigma': 0.975701573538491, 'gamma': 0.11568094503451205, 'rho': 10.030153399936902, 'S0': 0.960848307974761, 'E0': 0.020225513612342753, 'I0': 0.018926178412896174, 'R0': 0.0, 'fractional': 0.0}",44,10,I,no_observation_search_discovery,10
1,,SEIRS|fractional=0|obs=I,SEIRS|fractional=0|obs=I,SEIRS,False,I,0,infectious,9,4,0.2677028485969871,0.19514272589062812,0.27736726164364334,0.15620262094539056,0.1613538174837646,1.1500261777935221,0.16058914810799654,0.16387681289663603,3,0.1619411816960898,0.020190041252113152,0.010095020626056576,0.03135948165292874,"{'1': {'mae': 0.14919057105339228, 'rmse': 0.1543122642853293, 'smape': 1.070778907219929}, '2': {'mae': 0.15890882224306632, 'rmse': 0.16231556471678657, 'smape': 1.1828922810391616}, '4': {'mae': 0.17366805102753105, 'rmse': 0.17500260968779227, 'smape': 1.414523058206487}}",0.006271896330585749,0.18,0.09,0.08,0.0,0.0,0.0,0.0,0.01,0.01,stability_aware,multi_split_mean_mae + multi_split_penalty + stability_penalty + complexity_penalty + age_prior_penalty,0.3683080986527321,False,True,True,True,True,"{'b0': -1.4175782767924563, 'b1': 3.771738682672588, 'b2': 0.3728152056473381, 'sigma': 0.9628925308333, 'gamma': 0.3547702553098567, 'omega': 0.16519185923245092, 'rho': 16.37254454645058, 'S0': 0.9681902414303233, 'E0': 0.015510232480538799, 'I0': 0.01629952608913799, 'R0': 0.0, 'fractional': 0.0}",44,10,I,no_observation_search_discovery,10
1,,SIR|fractional=0|obs=I,SIR|fractional=0|obs=I,SIR,False,I,0,infectious,6,3,0.26925465034067303,0.318147505251616,0.43801370773112513,0.19533765132710362,0.21896511747809455,0.5301338908378325,0.18526695449721944,0.2473232652820593,3,0.17030895595698856,0.12342507171392225,0.061712535856961126,0.15866942571836032,"{'1': {'mae': 0.17319913679992974, 'rmse': 0.20260606428264027, 'smape': 0.47011234267931556}, '2': {'mae': 0.1601827521029254, 'rmse': 0.18876415955760353, 'smape': 0.4658438436543641}, '4': {'mae': 0.22241897458880325, 'rmse': 0.3505995720059342, 'smape': 0.5250119111255424}}",0.031733885143672064,0.12,0.06,0.06,0.0,0.0,0.0,0.0,0.0,-0.01,stability_aware,multi_split_mean_mae + multi_split_penalty + stability_penalty + complexity_penalty + age_prior_penalty,0.37375537695762173,False,True,True,True,True,"{'b0': 0.41854307273698504, 'b1': 1.3814394219138293, 'b2': -2.023280818724116, 'gamma': 0.11617656230344363, 'rho': 10.01324046300628, 'S0': 0.9673515621073752, 'I0': 0.03264843789262477, 'R0': 0.0, 'fractional': 0.0}",44,10,I,no_observation_search_discovery,10
1,,SIR|fractional=1|obs=I,SIR|fractional=1|obs=I,SIR,True,I,0,infectious,7,3,0.1964397547264432,0.2634993782707311,0.3204443431558872,0.24573229539813624,0.274529786599326,0.6245172765974255,0.1855832915457942,0.21297398690636427,3,0.1767979911503009,0.09401437382251444,0.04700718691125722,0.104208957715042,"{'1': {'mae': 0.20944572581710696, 'rmse': 0.2434016468267288, 'smape': 0.5462856447614224}, '2': {'mae': 0.19217175191759128, 'rmse': 0.22296513171015295, 'smape': 0.5407688344890503}, '4': {'mae': 0.1551323969026843, 'rmse': 0.172555182182211, 'smape': 0.5060379781604173}}",0.0208417915430084,0.14500000000000002,0.07,0.06,0.015,0.0,0.0,0.0,0.0,-0.005,stability_aware,multi_split_mean_mae + multi_split_penalty + stability_penalty + complexity_penalty + age_prior_penalty,0.3846469696045665,False,True,True,True,True,"{'b0': 0.4548224507695446, 'b1': 1.9063188705099519, 'b2': -1.3134662352371642, 'gamma': 0.5414707885848743, 'rho': 22.42264040328924, 'alpha': 0.7097307944140382, 'S0': 0.975645680801626, 'I0': 0.024354319198374094, 'R0': 0.0, 'fractional': 1.0}",44,10,I,no_observation_search_discovery,10
1,,SEIR|fractional=1|obs=I,SEIR|fractional=1|obs=I,SEIR,True,I,0,infectious,9,4,0.3500712156803193,0.3189060871241424,0.44396688577302046,0.2319420845709718,0.2527215003959349,0.6105632006559116,0.17967710066800624,0.20518346468987472,3,0.17115426465432063,0.09159244317622617,0.045796221588113084,0.09903879829559707,"{'1': {'mae': 0.19838228880232361, 'rmse': 0.2269833200690813, 'smape': 0.5279080742201483}, '2': {'mae': 0.1859223839873159, 'rmse': 0.21383680551017303, 'smape': 0.5276176549467908}, '4': {'mae': 0.15472662921437916, 'rmse': 0.17473026849036985, 'smape': 0.5001663973991393}}",0.019807759659119416,0.185,0.09,0.08,0.015,0.0,0.0,0.0,0.0,0.0,stability_aware,multi_split_mean_mae + multi_split_penalty + stability_penalty + complexity_penalty + age_prior_penalty,0.4217582459015531,False,True,True,True,True,"{'b0': 0.8607670982840018, 'b1': 2.17537049420869, 'b2': -2.0961459481712366, 'sigma': 0.9746602327906523, 'gamma': 0.1285001221443211, 'rho': 10.466710600506575, 'alpha': 0.9788939802502122, 'S0': 0.9616953779041143, 'E0': 0.019772742447775576, 'I0': 0.018531879648110233, 'R0': 0.0, 'fractional': 1.0}",44,10,I,no_observation_search_discovery,10
1,,SEIHR|fractional=0|obs=I,SEIHR|fractional=0|obs=I,SEIHR,False,I,0,infectious,11,5,0.3671217419239518,0.31545221963360637,0.44576722900491983,0.20199098714608868,0.2254511580040079,0.5446702206012062,0.15873735759055294,0.18405514472201812,3,0.15092313963739357,0.08605309575032424,0.04302654787516212,0.09313793154320267,"{'1': {'mae': 0.17558591126310402, 'rmse': 0.20323632260228847, 'smape': 0.4805074675437514}, '2': {'mae': 0.16666111141222062, 'rmse': 0.19481494700678662, 'smape': 0.4822493052241842}, '4': {'mae': 0.13396505009633414, 'rmse': 0.15411416455697924, 'smape': 0.44572837432858003}}",0.018627586308640535,0.21000000000000002,0.11,0.1,0.0,0.0,0.0,0.0,0.0,0.0,stability_aware,multi_split_mean_mae + multi_split_penalty + stability_penalty + complexity_penalty + age_prior_penalty,0.42257727382119625,False,True,True,True,True,"{'b0': 1.0573167557828906, 'b1': 2.225147251832731, 'b2': -2.1300327494253506, 'sigma': 0.9748965213007273, 'eta': 0.05761858891745401, 'gamma_i': 0.057771196614291025, 'gamma_h': 0.4992384735554967, 'rho': 11.50649855035039, 'S0': 0.8367297397488985, 'E0': 0.016869299353552764, 'I0': 0.015749078280513966, 'H0': 0.13065188261703473, 'R0': 0.0, 'fractional': 0.0}",44,10,I,no_observation_search_discovery,10
1,,SEIAR|fractional=0|obs=I,SEIAR|fractional=0|obs=I,SEIAR,False,I,0,infectious,11,5,0.38172385983719037,0.32019556905930185,0.4455332099656737,0.2020870806209183,0.22556380282387103,0.5448418196748045,0.16043183088603544,0.1861456183917488,3,0.15238185618654432,0.08771716927375628,0.04385858463687814,0.09438146044201678,"{'1': {'mae': 0.18021568876944885, 'rmse': 0.2091692983885588, 'smape': 0.48701950588765586}, '2': {'mae': 0.16691051758261033, 'rmse': 0.19499718755650697, 'smape': 0.4829707151013429}, '4': {'mae': 0.13416928630604721, 'rmse': 0.15427036923018064, 'smape': 0.44637224492332395}}",0.018876292088403357,0.21000000000000002,0.11,0.1,0.0,0.0,0.0,0.0,0.0,0.0,stability_aware,multi_split_mean_mae + multi_split_penalty + stability_penalty + complexity_penalty + age_prior_penalty,0.42511673291182583,False,True,True,True,True,"{'b0': 0.782452297264392, 'b1': 2.4802559709944805, 'b2': -2.212322627306025, 'sigma': 0.9762143787972113, 'p_asym': 0.040392491212359875, 'gamma_i': 0.11541082719405968, 'gamma_a': 0.8020072809561748, 'rho': 11.248935899675415, 'S0': 0.8938130373780462, 'E0': 0.018638939922619207, 'I0': 0.017378986356922064, 'A0': 0.07016903634241235, 'R0': 0.0, 'fractional': 0.0}",44,10,I,no_observation_search_discovery,10
1,,SEIAR|fractional=1|obs=I,SEIAR|fractional=1|obs=I,SEIAR,True,I,0,infectious,12,5,0.38891002662730323,0.3221513310323581,0.4448175060725172,0.22606494984970146,0.24756608815239245,0.5976807657381091,0.17792783798072107,0.20308811560366138,3,0.1695256198810009,0.09074847605974871,0.04537423802987436,0.09787340349171285,"{'1': {'mae': 0.19709026166969063, 'rmse': 0.22540407216236766, 'smape': 0.525575559834202}, '2': {'mae': 0.1842872297929332, 'rmse': 0.21180442029529456, 'smape': 0.524503137333624}, '4': {'mae': 0.15240602247953935, 'rmse': 0.1720558543533219, 'smape': 0.4949593684203425}}",0.019574680698342572,0.235,0.12,0.1,0.015,0.0,0.0,0.0,0.0,0.005,stability_aware,multi_split_mean_mae + multi_split_penalty + stability_penalty + complexity_penalty + age_prior_penalty,0.47447453860921784,False,True,True,True,True,"{'b0': 0.8395887642157586, 'b1': 2.526284186471024, 'b2': -2.263644762418448, 'sigma': 0.9756993631021088, 'p_asym': 0.03976702570827979, 'gamma_i': 0.1251196911442862, 'gamma_a': 0.8028227887092257, 'rho': 11.585450328896332, 'alpha': 0.9836374026376107, 'S0': 0.896406227456137, 'E0': 0.018383115598986016, 'I0': 0.01718127265529385, 'A0': 0.06802938428958324, 'R0': 0.0, 'fractional': 1.0}",44,10,I,no_observation_search_discovery,10
1,,SEIHR|fractional=1|obs=I,SEIHR|fractional=1|obs=I,SEIHR,True,I,0,infectious,12,5,0.36421064651407015,0.27524669852612876,0.35652666757891166,0.35620059880657434,0.39130674345328353,0.7968899121126087,0.2165841477651392,0.2718181835120482,3,0.20235603224654836,0.13357534830854925,0.06678767415427463,0.16306403201442973,"{'1': {'mae': 0.2598911040657075, 'rmse': 0.34777030154385025, 'smape': 0.5839610779736111}, '2': {'mae': 0.20313147721295433, 'rmse': 0.24726357424933126, 'smape': 0.5470085617085202}, '4': {'mae': 0.18672986201675584, 'rmse': 0.220420674742963, 'smape': 0.5534376333796799}}",0.03261280640288595,0.235,0.12,0.1,0.015,0.0,0.0,0.0,0.0,0.005,stability_aware,multi_split_mean_mae + multi_split_penalty + stability_penalty + complexity_penalty + age_prior_penalty,0.5417565128037088,False,True,True,True,True,"{'b0': 1.874814851910481, 'b1': 3.192168399353907, 'b2': -2.092778991438718, 'sigma': 0.9858366243951877, 'eta': 0.2497848622676402, 'gamma_i': 0.3676773508897483, 'gamma_h': 0.24508876851001554, 'rho': 29.234578427008124, 'alpha': 0.7440060563193164, 'S0': 0.883476183126137, 'E0': 0.006989765993514665, 'I0': 0.013435677734852795, 'H0': 0.09609837314549552, 'R0': 0.0, 'fractional': 1.0}",44,10,I,no_observation_search_discovery,10
