CATCHMENT,NETWORK,YEAR,YEAR.1,WEEK,AGE CATEGORY,SEX CATEGORY,RACE CATEGORY,VIRUS TYPE CATEGORY,CUMULATIVE RATE,WEEKLY RATE,AGE ADJUSTED CUMULATIVE RATE,AGE ADJUSTED WEEKLY RATE,season,t,series_name
Entire Network,FluSurv-NET,2023-24,2023,40,>= 65 yr,Overall,Overall,Overall,1.0,0.7,,,2023-24,0,2023-24 / >= 65 yr
Entire Network,FluSurv-NET,2023-24,2023,41,>= 65 yr,Overall,Overall,Overall,1.0,0.7,,,2023-24,1,2023-24 / >= 65 yr
Entire Network,FluSurv-NET,2023-24,2023,42,>= 65 yr,Overall,Overall,Overall,2.0,0.6,,,2023-24,2,2023-24 / >= 65 yr
Entire Network,FluSurv-NET,2023-24,2023,43,>= 65 yr,Overall,Overall,Overall,3.0,0.5,,,2023-24,3,2023-24 / >= 65 yr
Entire Network,FluSurv-NET,2023-24,2023,44,>= 65 yr,Overall,Overall,Overall,4.0,1.1,,,2023-24,4,2023-24 / >= 65 yr
Entire Network,FluSurv-NET,2023-24,2023,45,>= 65 yr,Overall,Overall,Overall,5.0,1.6,,,2023-24,5,2023-24 / >= 65 yr
Entire Network,FluSurv-NET,2023-24,2023,46,>= 65 yr,Overall,Overall,Overall,7.0,2.1,,,2023-24,6,2023-24 / >= 65 yr
Entire Network,FluSurv-NET,2023-24,2023,47,>= 65 yr,Overall,Overall,Overall,11.0,3.4,,,2023-24,7,2023-24 / >= 65 yr
Entire Network,FluSurv-NET,2023-24,2023,48,>= 65 yr,Overall,Overall,Overall,16.0,5.4,,,2023-24,8,2023-24 / >= 65 yr
Entire Network,FluSurv-NET,2023-24,2023,49,>= 65 yr,Overall,Overall,Overall,24.0,7.6,,,2023-24,9,2023-24 / >= 65 yr
Entire Network,FluSurv-NET,2023-24,2023,50,>= 65 yr,Overall,Overall,Overall,34.0,10.6,,,2023-24,10,2023-24 / >= 65 yr
Entire Network,FluSurv-NET,2023-24,2023,51,>= 65 yr,Overall,Overall,Overall,52.0,17.4,,,2023-24,11,2023-24 / >= 65 yr
