CATCHMENT,NETWORK,YEAR,YEAR.1,WEEK,AGE CATEGORY,SEX CATEGORY,RACE CATEGORY,VIRUS TYPE CATEGORY,CUMULATIVE RATE,WEEKLY RATE,AGE ADJUSTED CUMULATIVE RATE,AGE ADJUSTED WEEKLY RATE,season,t,series_name
Entire Network,FluSurv-NET,2021-22,2021,40,Overall,Overall,Overall,Overall,0.0,0.0,,,2021-22,0,2021-22 / Overall
Entire Network,FluSurv-NET,2021-22,2021,41,Overall,Overall,Overall,Overall,0.0,0.0,,,2021-22,1,2021-22 / Overall
Entire Network,FluSurv-NET,2021-22,2021,42,Overall,Overall,Overall,Overall,0.0,0.0,,,2021-22,2,2021-22 / Overall
Entire Network,FluSurv-NET,2021-22,2021,43,Overall,Overall,Overall,Overall,0.0,0.0,,,2021-22,3,2021-22 / Overall
Entire Network,FluSurv-NET,2021-22,2021,44,Overall,Overall,Overall,Overall,0.0,0.0,,,2021-22,4,2021-22 / Overall
Entire Network,FluSurv-NET,2021-22,2021,45,Overall,Overall,Overall,Overall,0.0,0.1,,,2021-22,5,2021-22 / Overall
Entire Network,FluSurv-NET,2021-22,2021,46,Overall,Overall,Overall,Overall,0.0,0.1,,,2021-22,6,2021-22 / Overall
Entire Network,FluSurv-NET,2021-22,2021,47,Overall,Overall,Overall,Overall,0.0,0.2,,,2021-22,7,2021-22 / Overall
Entire Network,FluSurv-NET,2021-22,2021,48,Overall,Overall,Overall,Overall,1.0,0.3,,,2021-22,8,2021-22 / Overall
Entire Network,FluSurv-NET,2021-22,2021,49,Overall,Overall,Overall,Overall,1.0,0.4,,,2021-22,9,2021-22 / Overall
Entire Network,FluSurv-NET,2021-22,2021,50,Overall,Overall,Overall,Overall,2.0,0.6,,,2021-22,10,2021-22 / Overall
Entire Network,FluSurv-NET,2021-22,2021,51,Overall,Overall,Overall,Overall,2.0,0.7,,,2021-22,11,2021-22 / Overall
Entire Network,FluSurv-NET,2021-22,2021,52,Overall,Overall,Overall,Overall,3.0,1.0,,,2021-22,12,2021-22 / Overall
Entire Network,FluSurv-NET,2021-22,2022,1,Overall,Overall,Overall,Overall,4.0,0.6,,,2021-22,13,2021-22 / Overall
Entire Network,FluSurv-NET,2021-22,2022,2,Overall,Overall,Overall,Overall,4.0,0.4,,,2021-22,14,2021-22 / Overall
Entire Network,FluSurv-NET,2021-22,2022,3,Overall,Overall,Overall,Overall,5.0,0.3,,,2021-22,15,2021-22 / Overall
Entire Network,FluSurv-NET,2021-22,2022,4,Overall,Overall,Overall,Overall,5.0,0.2,,,2021-22,16,2021-22 / Overall
Entire Network,FluSurv-NET,2021-22,2022,5,Overall,Overall,Overall,Overall,5.0,0.2,,,2021-22,17,2021-22 / Overall
Entire Network,FluSurv-NET,2021-22,2022,6,Overall,Overall,Overall,Overall,5.0,0.2,,,2021-22,18,2021-22 / Overall
Entire Network,FluSurv-NET,2021-22,2022,7,Overall,Overall,Overall,Overall,5.0,0.2,,,2021-22,19,2021-22 / Overall
Entire Network,FluSurv-NET,2021-22,2022,8,Overall,Overall,Overall,Overall,6.0,0.3,,,2021-22,20,2021-22 / Overall
Entire Network,FluSurv-NET,2021-22,2022,9,Overall,Overall,Overall,Overall,6.0,0.3,,,2021-22,21,2021-22 / Overall
Entire Network,FluSurv-NET,2021-22,2022,10,Overall,Overall,Overall,Overall,7.0,0.4,,,2021-22,22,2021-22 / Overall
Entire Network,FluSurv-NET,2021-22,2022,11,Overall,Overall,Overall,Overall,7.0,0.6,,,2021-22,23,2021-22 / Overall
Entire Network,FluSurv-NET,2021-22,2022,12,Overall,Overall,Overall,Overall,8.0,0.7,,,2021-22,24,2021-22 / Overall
Entire Network,FluSurv-NET,2021-22,2022,13,Overall,Overall,Overall,Overall,9.0,0.9,,,2021-22,25,2021-22 / Overall
Entire Network,FluSurv-NET,2021-22,2022,14,Overall,Overall,Overall,Overall,10.0,1.1,,,2021-22,26,2021-22 / Overall
Entire Network,FluSurv-NET,2021-22,2022,15,Overall,Overall,Overall,Overall,11.0,1.1,,,2021-22,27,2021-22 / Overall
Entire Network,FluSurv-NET,2021-22,2022,16,Overall,Overall,Overall,Overall,12.0,1.2,,,2021-22,28,2021-22 / Overall
Entire Network,FluSurv-NET,2021-22,2022,17,Overall,Overall,Overall,Overall,13.0,1.2,,,2021-22,29,2021-22 / Overall
Entire Network,FluSurv-NET,2021-22,2022,18,Overall,Overall,Overall,Overall,14.0,1.1,,,2021-22,30,2021-22 / Overall
Entire Network,FluSurv-NET,2021-22,2022,19,Overall,Overall,Overall,Overall,15.0,1.0,,,2021-22,31,2021-22 / Overall
Entire Network,FluSurv-NET,2021-22,2022,20,Overall,Overall,Overall,Overall,16.0,0.8,,,2021-22,32,2021-22 / Overall
Entire Network,FluSurv-NET,2021-22,2022,21,Overall,Overall,Overall,Overall,17.0,0.6,,,2021-22,33,2021-22 / Overall
Entire Network,FluSurv-NET,2021-22,2022,22,Overall,Overall,Overall,Overall,17.0,0.5,,,2021-22,34,2021-22 / Overall
Entire Network,FluSurv-NET,2021-22,2022,23,Overall,Overall,Overall,Overall,18.0,0.3,,,2021-22,35,2021-22 / Overall
