series_name,season,YEAR,YEAR.1,WEEK,t,CATCHMENT,AGE CATEGORY,SEX CATEGORY,RACE CATEGORY,VIRUS TYPE CATEGORY,WEEKLY RATE,CUMULATIVE RATE
2018-19 / Overall,2018-19,2018-19,2018,40,0,Entire Network,Overall,Overall,Overall,Overall,0.1,0.0
2018-19 / Overall,2018-19,2018-19,2018,41,1,Entire Network,Overall,Overall,Overall,Overall,0.1,0.0
2018-19 / Overall,2018-19,2018-19,2018,42,2,Entire Network,Overall,Overall,Overall,Overall,0.1,0.0
2018-19 / Overall,2018-19,2018-19,2018,43,3,Entire Network,Overall,Overall,Overall,Overall,0.1,0.0
2018-19 / Overall,2018-19,2018-19,2018,44,4,Entire Network,Overall,Overall,Overall,Overall,0.2,1.0
2018-19 / Overall,2018-19,2018-19,2018,45,5,Entire Network,Overall,Overall,Overall,Overall,0.2,1.0
2018-19 / Overall,2018-19,2018-19,2018,46,6,Entire Network,Overall,Overall,Overall,Overall,0.2,1.0
2018-19 / Overall,2018-19,2018-19,2018,47,7,Entire Network,Overall,Overall,Overall,Overall,0.3,1.0
2018-19 / Overall,2018-19,2018-19,2018,48,8,Entire Network,Overall,Overall,Overall,Overall,0.6,2.0
2018-19 / Overall,2018-19,2018-19,2018,49,9,Entire Network,Overall,Overall,Overall,Overall,0.7,3.0
2018-19 / Overall,2018-19,2018-19,2018,50,10,Entire Network,Overall,Overall,Overall,Overall,1.2,4.0
2018-19 / Overall,2018-19,2018-19,2018,51,11,Entire Network,Overall,Overall,Overall,Overall,1.9,6.0
2018-19 / Overall,2018-19,2018-19,2018,52,12,Entire Network,Overall,Overall,Overall,Overall,2.9,9.0
2018-19 / Overall,2018-19,2018-19,2019,1,13,Entire Network,Overall,Overall,Overall,Overall,3.0,12.0
2018-19 / Overall,2018-19,2018-19,2019,2,14,Entire Network,Overall,Overall,Overall,Overall,2.5,14.0
2018-19 / Overall,2018-19,2018-19,2019,3,15,Entire Network,Overall,Overall,Overall,Overall,2.1,16.0
2018-19 / Overall,2018-19,2018-19,2019,4,16,Entire Network,Overall,Overall,Overall,Overall,2.3,19.0
2018-19 / Overall,2018-19,2018-19,2019,5,17,Entire Network,Overall,Overall,Overall,Overall,3.0,22.0
2018-19 / Overall,2018-19,2018-19,2019,6,18,Entire Network,Overall,Overall,Overall,Overall,3.5,25.0
2018-19 / Overall,2018-19,2018-19,2019,7,19,Entire Network,Overall,Overall,Overall,Overall,3.8,29.0
2018-19 / Overall,2018-19,2018-19,2019,8,20,Entire Network,Overall,Overall,Overall,Overall,4.6,34.0
2018-19 / Overall,2018-19,2018-19,2019,9,21,Entire Network,Overall,Overall,Overall,Overall,4.6,38.0
2018-19 / Overall,2018-19,2018-19,2019,10,22,Entire Network,Overall,Overall,Overall,Overall,5.2,43.0
