series_name,model_name,interval_level,nominal_coverage,empirical_coverage,coverage_gap,average_interval_width,negative_log_likelihood,uncertainty_method,uncertainty_draws,interval_calibration_method,split,calibration_kind,interval_calibration_scale,artifact_dir
2021-22 / 0-4 yr,probabilistic_seir,80,0.8,0.0,-0.8,0.193910329831688,55.77248995926212,bootstrap,10,none,test,raw,1.0,D:\Projects\agentic_flu_model_discovery\artifacts_flusurvnet_multiseason_seasonal_selected\2021_22___0_4_yr\probabilistic_seir
2021-22 / 0-4 yr,probabilistic_seir,95,0.95,0.0,-0.95,0.29871400643705226,55.77248995926212,bootstrap,10,none,test,raw,1.0,D:\Projects\agentic_flu_model_discovery\artifacts_flusurvnet_multiseason_seasonal_selected\2021_22___0_4_yr\probabilistic_seir
2021-22 / >= 65 yr,probabilistic_seir,50,0.5,0.0,-0.5,0.6229488159395992,63.991401266701416,bootstrap,10,none,test,raw,1.0,D:\Projects\agentic_flu_model_discovery\artifacts_flusurvnet_multiseason_seasonal_selected\2021_22___ge__65_yr\probabilistic_seir
2021-22 / >= 65 yr,probabilistic_seir,80,0.8,0.0,-0.8,0.8755027978515457,63.991401266701416,bootstrap,10,none,test,raw,1.0,D:\Projects\agentic_flu_model_discovery\artifacts_flusurvnet_multiseason_seasonal_selected\2021_22___ge__65_yr\probabilistic_seir
2021-22 / >= 65 yr,probabilistic_seir,95,0.95,0.0,-0.95,1.2470340867443355,63.991401266701416,bootstrap,10,none,test,raw,1.0,D:\Projects\agentic_flu_model_discovery\artifacts_flusurvnet_multiseason_seasonal_selected\2021_22___ge__65_yr\probabilistic_seir
2021-22 / Overall,probabilistic_seir,50,0.5,0.375,-0.125,3.304775411820136,31.55566243617859,bootstrap,10,none,test,raw,1.0,D:\Projects\agentic_flu_model_discovery\artifacts_flusurvnet_multiseason_seasonal_selected\2021_22___overall\probabilistic_seir
2021-22 / Overall,probabilistic_seir,80,0.8,0.75,-0.050000000000000044,20.21286660254988,31.55566243617859,bootstrap,10,none,test,raw,1.0,D:\Projects\agentic_flu_model_discovery\artifacts_flusurvnet_multiseason_seasonal_selected\2021_22___overall\probabilistic_seir
2021-22 / Overall,probabilistic_seir,95,0.95,1.0,0.050000000000000044,77.01860386273967,31.55566243617859,bootstrap,10,none,test,raw,1.0,D:\Projects\agentic_flu_model_discovery\artifacts_flusurvnet_multiseason_seasonal_selected\2021_22___overall\probabilistic_seir
2022-23 / 0-4 yr,probabilistic_seir,50,0.5,0.7142857142857143,0.2142857142857143,0.1880795497053346,2.0381339391187083,bootstrap,10,none,test,raw,1.0,D:\Projects\agentic_flu_model_discovery\artifacts_flusurvnet_multiseason_seasonal_selected\2022_23___0_4_yr\probabilistic_seir
2022-23 / 0-4 yr,probabilistic_seir,80,0.8,1.0,0.19999999999999996,0.3720657461686327,2.0381339391187083,bootstrap,10,none,test,raw,1.0,D:\Projects\agentic_flu_model_discovery\artifacts_flusurvnet_multiseason_seasonal_selected\2022_23___0_4_yr\probabilistic_seir
2022-23 / 0-4 yr,probabilistic_seir,95,0.95,1.0,0.050000000000000044,0.6185750850176394,2.0381339391187083,bootstrap,10,none,test,raw,1.0,D:\Projects\agentic_flu_model_discovery\artifacts_flusurvnet_multiseason_seasonal_selected\2022_23___0_4_yr\probabilistic_seir
2022-23 / >= 65 yr,probabilistic_seir,50,0.5,0.5714285714285714,0.0714285714285714,0.7778835919172462,8.231819929141501,bootstrap,10,none,test,raw,1.0,D:\Projects\agentic_flu_model_discovery\artifacts_flusurvnet_multiseason_seasonal_selected\2022_23___ge__65_yr\probabilistic_seir
2022-23 / >= 65 yr,probabilistic_seir,80,0.8,1.0,0.19999999999999996,1.4270654126952889,8.231819929141501,bootstrap,10,none,test,raw,1.0,D:\Projects\agentic_flu_model_discovery\artifacts_flusurvnet_multiseason_seasonal_selected\2022_23___ge__65_yr\probabilistic_seir
2022-23 / >= 65 yr,probabilistic_seir,95,0.95,1.0,0.050000000000000044,1.8548245100587941,8.231819929141501,bootstrap,10,none,test,raw,1.0,D:\Projects\agentic_flu_model_discovery\artifacts_flusurvnet_multiseason_seasonal_selected\2022_23___ge__65_yr\probabilistic_seir
2022-23 / Overall,probabilistic_seir,50,0.5,0.2857142857142857,-0.2142857142857143,0.1335382120216811,0.48355098236010674,bootstrap,10,none,test,raw,1.0,D:\Projects\agentic_flu_model_discovery\artifacts_flusurvnet_multiseason_seasonal_selected\2022_23___overall\probabilistic_seir
2022-23 / Overall,probabilistic_seir,80,0.8,0.7142857142857143,-0.08571428571428574,0.2722353672586065,0.48355098236010674,bootstrap,10,none,test,raw,1.0,D:\Projects\agentic_flu_model_discovery\artifacts_flusurvnet_multiseason_seasonal_selected\2022_23___overall\probabilistic_seir
2022-23 / Overall,probabilistic_seir,95,0.95,0.8571428571428571,-0.09285714285714286,0.32439333789444913,0.48355098236010674,bootstrap,10,none,test,raw,1.0,D:\Projects\agentic_flu_model_discovery\artifacts_flusurvnet_multiseason_seasonal_selected\2022_23___overall\probabilistic_seir
2023-24 / 0-4 yr,probabilistic_seir,50,0.5,0.7272727272727273,0.2272727272727273,0.3246500099755521,-0.2015587388496659,bootstrap,10,none,test,raw,1.0,D:\Projects\agentic_flu_model_discovery\artifacts_flusurvnet_multiseason_seasonal_selected\2023_24___0_4_yr\probabilistic_seir
2023-24 / 0-4 yr,probabilistic_seir,80,0.8,1.0,0.19999999999999996,0.5267689241983116,-0.2015587388496659,bootstrap,10,none,test,raw,1.0,D:\Projects\agentic_flu_model_discovery\artifacts_flusurvnet_multiseason_seasonal_selected\2023_24___0_4_yr\probabilistic_seir
2023-24 / 0-4 yr,probabilistic_seir,95,0.95,1.0,0.050000000000000044,0.7324607651387693,-0.2015587388496659,bootstrap,10,none,test,raw,1.0,D:\Projects\agentic_flu_model_discovery\artifacts_flusurvnet_multiseason_seasonal_selected\2023_24___0_4_yr\probabilistic_seir
2023-24 / >= 65 yr,probabilistic_seir,50,0.5,0.8181818181818182,0.31818181818181823,0.6712057530364554,8.066342346450126,bootstrap,10,none,test,raw,1.0,D:\Projects\agentic_flu_model_discovery\artifacts_flusurvnet_multiseason_seasonal_selected\2023_24___ge__65_yr\probabilistic_seir
2023-24 / >= 65 yr,probabilistic_seir,80,0.8,1.0,0.19999999999999996,1.163119302721348,8.066342346450126,bootstrap,10,none,test,raw,1.0,D:\Projects\agentic_flu_model_discovery\artifacts_flusurvnet_multiseason_seasonal_selected\2023_24___ge__65_yr\probabilistic_seir
2023-24 / >= 65 yr,probabilistic_seir,95,0.95,1.0,0.050000000000000044,1.4592071504809325,8.066342346450126,bootstrap,10,none,test,raw,1.0,D:\Projects\agentic_flu_model_discovery\artifacts_flusurvnet_multiseason_seasonal_selected\2023_24___ge__65_yr\probabilistic_seir
2023-24 / Overall,probabilistic_seir,50,0.5,1.0,0.5,0.25226782766959005,-3.157329948570438,bootstrap,10,none,test,raw,1.0,D:\Projects\agentic_flu_model_discovery\artifacts_flusurvnet_multiseason_seasonal_selected\2023_24___overall\probabilistic_seir
2023-24 / Overall,probabilistic_seir,80,0.8,1.0,0.19999999999999996,0.3973451539137356,-3.157329948570438,bootstrap,10,none,test,raw,1.0,D:\Projects\agentic_flu_model_discovery\artifacts_flusurvnet_multiseason_seasonal_selected\2023_24___overall\probabilistic_seir
2023-24 / Overall,probabilistic_seir,95,0.95,1.0,0.050000000000000044,0.5342131671265713,-3.157329948570438,bootstrap,10,none,test,raw,1.0,D:\Projects\agentic_flu_model_discovery\artifacts_flusurvnet_multiseason_seasonal_selected\2023_24___overall\probabilistic_seir
2024-25 / 0-4 yr,probabilistic_seir,50,0.5,0.14285714285714285,-0.35714285714285715,0.49877148961628553,7.299030225746217,bootstrap,10,none,test,raw,1.0,D:\Projects\agentic_flu_model_discovery\artifacts_flusurvnet_multiseason_seasonal_selected\2024_25___0_4_yr\probabilistic_seir
2024-25 / 0-4 yr,probabilistic_seir,80,0.8,0.5714285714285714,-0.22857142857142865,0.9080661081777625,7.299030225746217,bootstrap,10,none,test,raw,1.0,D:\Projects\agentic_flu_model_discovery\artifacts_flusurvnet_multiseason_seasonal_selected\2024_25___0_4_yr\probabilistic_seir
2024-25 / 0-4 yr,probabilistic_seir,95,0.95,0.5714285714285714,-0.37857142857142856,1.110543553812566,7.299030225746217,bootstrap,10,none,test,raw,1.0,D:\Projects\agentic_flu_model_discovery\artifacts_flusurvnet_multiseason_seasonal_selected\2024_25___0_4_yr\probabilistic_seir
2024-25 / >= 65 yr,probabilistic_seir,50,0.5,0.8571428571428571,0.3571428571428571,2.034363507757903,11.203877033348432,bootstrap,10,none,test,raw,1.0,D:\Projects\agentic_flu_model_discovery\artifacts_flusurvnet_multiseason_seasonal_selected\2024_25___ge__65_yr\probabilistic_seir
2024-25 / >= 65 yr,probabilistic_seir,80,0.8,1.0,0.19999999999999996,3.093867430599532,11.203877033348432,bootstrap,10,none,test,raw,1.0,D:\Projects\agentic_flu_model_discovery\artifacts_flusurvnet_multiseason_seasonal_selected\2024_25___ge__65_yr\probabilistic_seir
2024-25 / >= 65 yr,probabilistic_seir,95,0.95,1.0,0.050000000000000044,4.661871831506807,11.203877033348432,bootstrap,10,none,test,raw,1.0,D:\Projects\agentic_flu_model_discovery\artifacts_flusurvnet_multiseason_seasonal_selected\2024_25___ge__65_yr\probabilistic_seir
2024-25 / Overall,probabilistic_seir,50,0.5,0.8571428571428571,0.3571428571428571,1.0177292283137047,5.796569175509729,bootstrap,10,none,test,raw,1.0,D:\Projects\agentic_flu_model_discovery\artifacts_flusurvnet_multiseason_seasonal_selected\2024_25___overall\probabilistic_seir
2024-25 / Overall,probabilistic_seir,80,0.8,0.8571428571428571,0.05714285714285705,1.5740469080398978,5.796569175509729,bootstrap,10,none,test,raw,1.0,D:\Projects\agentic_flu_model_discovery\artifacts_flusurvnet_multiseason_seasonal_selected\2024_25___overall\probabilistic_seir
2024-25 / Overall,probabilistic_seir,95,0.95,1.0,0.050000000000000044,2.1664307000304426,5.796569175509729,bootstrap,10,none,test,raw,1.0,D:\Projects\agentic_flu_model_discovery\artifacts_flusurvnet_multiseason_seasonal_selected\2024_25___overall\probabilistic_seir
