series_name,v1_best_spec,v1_selected_round_id,v1_best_score,v1_best_validation_mae,v1_best_rolling_mean_mae,v1_final_test_mae,v1_rounds_completed,v1_early_stop_round,v1_num_candidates_evaluated,v0_best_spec,v0_best_score,v0_best_rolling_mean_mae,v0_best_test_mae,v0_num_candidates_evaluated,nonllm_best_spec,nonllm_best_score,nonllm_best_rolling_mean_mae,nonllm_best_test_mae,nonllm_num_candidates_evaluated,v1_minus_v0_test_mae,v1_minus_v0_rolling_mae,v1_minus_nonllm_test_mae,v1_minus_nonllm_rolling_mae,candidate_efficiency_note,provider,provider_is_mock,scientific_claim_allowed
0-4 yr,SEIRS|fractional=0|obs=I,2,0.34137650027950367,0.15543488023703528,0.14176264026866905,0.09111118458823636,3,3.0,14,SEIRS|fractional=0|obs=delayed_I|delay=2,0.3468847515837221,0.1409393042648087,0.1072550572470371,2,SEIRS|fractional=0|obs=I,0.3448182161266474,0.1233439122037293,0.0905961813438664,24.0,-0.01614387265880074,0.0008233360038603643,0.0005150032443699548,0.018418728064939757,Budgets not matched; do not interpret as an efficiency claim.,openai,False,True
18-49 yr,SEIR|fractional=0|obs=delayed_I|delay=2,1,0.32532487757324746,0.1607770189802397,0.12605729851453087,0.05065689016342427,2,2.0,7,SIR|fractional=0|obs=I,0.250176895671526,0.1109781319177041,0.0480169349973162,2,SIR|fractional=0|obs=I,0.2606024740068135,0.0787418316908513,0.0480174624801723,23.8,0.002639955166108071,0.015079166596826774,0.0026394276832519686,0.04731546682367957,Budgets not matched; do not interpret as an efficiency claim.,openai,False,True
5-17 yr,SEIRS|fractional=0|obs=delayed_I|delay=2,2,0.288765993626152,0.04038273179422265,0.07246033372200732,0.08183846982020203,3,3.0,13,SEIR|fractional=0|obs=I,0.335852284924599,0.1415434042353646,0.0433573614630738,2,SEIRS|fractional=0|obs=I,0.2733136392656782,0.0535109814006205,0.0067972903672738,24.6,0.03848110835712823,-0.06908307051335728,0.07504117945292822,0.018949352321386816,Budgets not matched; do not interpret as an efficiency claim.,openai,False,True
50-64 yr,SEIR|fractional=0|obs=I,3,0.2668792175925199,0.10247004061556686,0.07410824659788372,0.03701166274054097,3,,13,SIR|fractional=0|obs=I,0.2222077379497093,0.0740506061199101,0.037160683726969,2,SIR|fractional=0|obs=I,0.22220934557003297,0.0540429833534397,0.0371606888046795,21.0,-0.00014902098642802925,5.764047797361671e-05,-0.0001490260641385313,0.02006526324444402,Budgets not matched; do not interpret as an efficiency claim.,openai,False,True
>= 65 yr,SEIRS|fractional=1|obs=delayed_I|delay=1,1,0.530716656824221,0.9343779530429505,0.28216958754043925,0.14091529695363036,2,2.0,12,SEIRS|fractional=1|obs=I,0.5368324415196509,0.261986714973275,0.1613415749054365,2,SEIRS|fractional=1|obs=delayed_I|delay=2,0.49365991637931683,0.1863770894276977,0.1263486059113989,27.0,-0.020426277951806127,0.020182872567164223,0.014566691042231461,0.09579249811274154,Budgets not matched; do not interpret as an efficiency claim.,openai,False,True
Overall,SEIR|fractional=0|obs=delayed_I|delay=1,1,0.36997308082715824,0.2010765888741226,0.15560383451975332,0.03812990157366964,2,2.0,10,SIR|fractional=0|obs=I,0.3179184604759294,0.1537991007508636,0.0369672951406182,2,SIR|fractional=0|obs=I,0.31791772257146256,0.0959085817650315,0.0369672729307378,25.2,0.0011626064330514385,0.0018047337688897325,0.0011626286429318386,0.05969525275472182,Budgets not matched; do not interpret as an efficiency claim.,openai,False,True
