origin_end,target_t,horizon,actual,prediction,error,abs_error
31,31,1,0.4,0.6996134100519109,0.2996134100519109,0.2996134100519109
32,32,1,0.3,0.5611870605555069,0.26118706055550694,0.26118706055550694
33,33,1,0.3,0.4526335460759293,0.15263354607592933,0.15263354607592933
34,34,1,0.3,0.39048601556653517,0.09048601556653518,0.09048601556653518
35,35,1,0.2,0.3519759098123746,0.15197590981237458,0.15197590981237458
36,36,1,0.2,0.29251658640118355,0.09251658640118354,0.09251658640118354
37,37,1,0.2,0.26289583951682916,0.06289583951682914,0.06289583951682914
38,38,1,0.2,0.2408525926445851,0.0408525926445851,0.0408525926445851
39,39,1,0.2,0.22093127252407196,0.020931272524071953,0.020931272524071953
40,40,1,0.2,0.21009839310658238,0.010098393106582365,0.010098393106582365
41,41,1,0.1,0.20060989453934383,0.10060989453934382,0.10060989453934382
42,42,1,0.1,0.15951659909232016,0.059516599092320155,0.059516599092320155
43,43,1,0.1,0.13963169554239885,0.03963169554239884,0.03963169554239884
44,44,1,0.1,0.1256178646267435,0.02561786462674348,0.02561786462674348
45,45,1,0.1,0.11238678005046092,0.012386780050460913,0.012386780050460913
46,46,1,0.1,0.10730393007206177,0.0073039300720617595,0.0073039300720617595
47,47,1,0.1,0.1028306582526705,0.0028306582526704954,0.0028306582526704954
48,48,1,0.1,0.0988641781450764,-0.0011358218549235993,0.0011358218549235993
49,49,1,0.1,0.09533398702244496,-0.004666012977555048,0.004666012977555048
50,50,1,0.1,0.09222446927640573,-0.0077755307235942706,0.0077755307235942706
51,51,1,0.0,0.08945507827386025,0.08945507827386025,0.08945507827386025
31,32,2,0.3,0.6738391984059404,0.37383919840594043,0.37383919840594043
32,33,2,0.3,0.5302257580393486,0.23022575803934858,0.23022575803934858
33,34,2,0.3,0.42576928279818765,0.12576928279818766,0.12576928279818766
34,35,2,0.2,0.36617839006272956,0.16617839006272955,0.16617839006272955
35,36,2,0.2,0.33094536822095927,0.13094536822095926,0.13094536822095926
36,37,2,0.2,0.2725932716271282,0.0725932716271282,0.0725932716271282
37,38,2,0.2,0.2491050208537889,0.0491050208537889,0.0491050208537889
38,39,2,0.2,0.2277424545614651,0.027742454561465096,0.027742454561465096
39,40,2,0.2,0.20911455041965943,0.009114550419659417,0.009114550419659417
40,41,2,0.1,0.1993938019612807,0.0993938019612807,0.0993938019612807
41,42,2,0.1,0.19090745541689388,0.09090745541689388,0.09090745541689388
42,43,2,0.1,0.15067781010644812,0.05067781010644812,0.05067781010644812
43,44,2,0.1,0.13113925593724834,0.03113925593724834,0.03113925593724834
44,45,2,0.1,0.11802396224701037,0.01802396224701036,0.01802396224701036
45,46,2,0.1,0.10559956684891816,0.005599566848918158,0.005599566848918158
46,47,2,0.1,0.10116582296305894,0.001165822963058935,0.001165822963058935
47,48,2,0.1,0.09733455367681672,-0.0026654463231832876,0.0026654463231832876
48,49,2,0.1,0.09436319735910609,-0.005636802640893918,0.005636802640893918
49,50,2,0.1,0.09136792804063566,-0.008632071959364343,0.008632071959364343
50,51,2,0.0,0.0887485923092455,0.0887485923092455,0.0887485923092455
31,34,4,0.3,0.6625620146333709,0.36256201463337095,0.36256201463337095
32,35,4,0.2,0.483620765027475,0.28362076502747496,0.28362076502747496
33,36,4,0.2,0.3845193997001445,0.18451939970014447,0.18451939970014447
34,37,4,0.2,0.33149946585946727,0.13149946585946726,0.13149946585946726
35,38,4,0.2,0.3014778071611268,0.10147780716112681,0.10147780716112681
36,39,4,0.2,0.2481503361064088,0.048150336106408786,0.048150336106408786
37,40,4,0.2,0.22432404835340308,0.02432404835340307,0.02432404835340307
38,41,4,0.1,0.20714323214243832,0.10714323214243832,0.10714323214243832
39,42,4,0.1,0.19122305351903032,0.09122305351903032,0.09122305351903032
40,43,4,0.1,0.18391121747203623,0.08391121747203623,0.08391121747203623
41,44,4,0.1,0.17749937230034651,0.07749937230034651,0.07749937230034651
42,45,4,0.1,0.13930263396352932,0.039302633963529315,0.039302633963529315
43,46,4,0.1,0.12178977309621428,0.02178977309621427,0.02178977309621427
44,47,4,0.1,0.1098122262415117,0.009812226241511693,0.009812226241511693
45,48,4,0.1,0.09842311699878621,-0.001576883001213794,0.001576883001213794
46,49,4,0.1,0.09494919624624176,-0.005050803753758243,0.005050803753758243
47,50,4,0.1,0.09192400063810888,-0.008075999361891129,0.008075999361891129
48,51,4,0.0,0.08932451019350071,0.08932451019350071,0.08932451019350071
