CATCHMENT,NETWORK,YEAR,YEAR.1,WEEK,AGE CATEGORY,SEX CATEGORY,RACE CATEGORY,VIRUS TYPE CATEGORY,CUMULATIVE RATE,WEEKLY RATE,AGE ADJUSTED CUMULATIVE RATE,AGE ADJUSTED WEEKLY RATE,season,t,series_name
Entire Network,FluSurv-NET,2019-20,2019,40,>= 65 yr,Overall,Overall,Overall,0.0,0.4,,,2019-20,0,2019-20 / >= 65 yr
Entire Network,FluSurv-NET,2019-20,2019,41,>= 65 yr,Overall,Overall,Overall,1.0,0.2,,,2019-20,1,2019-20 / >= 65 yr
Entire Network,FluSurv-NET,2019-20,2019,42,>= 65 yr,Overall,Overall,Overall,1.0,0.6,,,2019-20,2,2019-20 / >= 65 yr
Entire Network,FluSurv-NET,2019-20,2019,43,>= 65 yr,Overall,Overall,Overall,2.0,0.6,,,2019-20,3,2019-20 / >= 65 yr
Entire Network,FluSurv-NET,2019-20,2019,44,>= 65 yr,Overall,Overall,Overall,3.0,0.8,,,2019-20,4,2019-20 / >= 65 yr
Entire Network,FluSurv-NET,2019-20,2019,45,>= 65 yr,Overall,Overall,Overall,3.0,0.6,,,2019-20,5,2019-20 / >= 65 yr
Entire Network,FluSurv-NET,2019-20,2019,46,>= 65 yr,Overall,Overall,Overall,4.0,0.8,,,2019-20,6,2019-20 / >= 65 yr
Entire Network,FluSurv-NET,2019-20,2019,47,>= 65 yr,Overall,Overall,Overall,5.0,1.5,,,2019-20,7,2019-20 / >= 65 yr
Entire Network,FluSurv-NET,2019-20,2019,48,>= 65 yr,Overall,Overall,Overall,8.0,2.1,,,2019-20,8,2019-20 / >= 65 yr
Entire Network,FluSurv-NET,2019-20,2019,49,>= 65 yr,Overall,Overall,Overall,10.0,2.6,,,2019-20,9,2019-20 / >= 65 yr
Entire Network,FluSurv-NET,2019-20,2019,50,>= 65 yr,Overall,Overall,Overall,14.0,3.6,,,2019-20,10,2019-20 / >= 65 yr
Entire Network,FluSurv-NET,2019-20,2019,51,>= 65 yr,Overall,Overall,Overall,18.0,4.6,,,2019-20,11,2019-20 / >= 65 yr
Entire Network,FluSurv-NET,2019-20,2019,52,>= 65 yr,Overall,Overall,Overall,29.0,10.2,,,2019-20,12,2019-20 / >= 65 yr
Entire Network,FluSurv-NET,2019-20,2020,1,>= 65 yr,Overall,Overall,Overall,42.0,13.9,,,2019-20,13,2019-20 / >= 65 yr
Entire Network,FluSurv-NET,2019-20,2020,2,>= 65 yr,Overall,Overall,Overall,55.0,12.2,,,2019-20,14,2019-20 / >= 65 yr
Entire Network,FluSurv-NET,2019-20,2020,3,>= 65 yr,Overall,Overall,Overall,64.0,9.7,,,2019-20,15,2019-20 / >= 65 yr
Entire Network,FluSurv-NET,2019-20,2020,4,>= 65 yr,Overall,Overall,Overall,75.0,11.0,,,2019-20,16,2019-20 / >= 65 yr
Entire Network,FluSurv-NET,2019-20,2020,5,>= 65 yr,Overall,Overall,Overall,88.0,12.7,,,2019-20,17,2019-20 / >= 65 yr
Entire Network,FluSurv-NET,2019-20,2020,6,>= 65 yr,Overall,Overall,Overall,104.0,15.7,,,2019-20,18,2019-20 / >= 65 yr
Entire Network,FluSurv-NET,2019-20,2020,7,>= 65 yr,Overall,Overall,Overall,118.0,14.4,,,2019-20,19,2019-20 / >= 65 yr
Entire Network,FluSurv-NET,2019-20,2020,8,>= 65 yr,Overall,Overall,Overall,132.0,14.3,,,2019-20,20,2019-20 / >= 65 yr
Entire Network,FluSurv-NET,2019-20,2020,9,>= 65 yr,Overall,Overall,Overall,147.0,14.0,,,2019-20,21,2019-20 / >= 65 yr
Entire Network,FluSurv-NET,2019-20,2020,10,>= 65 yr,Overall,Overall,Overall,159.0,12.1,,,2019-20,22,2019-20 / >= 65 yr
Entire Network,FluSurv-NET,2019-20,2020,11,>= 65 yr,Overall,Overall,Overall,167.0,8.4,,,2019-20,23,2019-20 / >= 65 yr
Entire Network,FluSurv-NET,2019-20,2020,12,>= 65 yr,Overall,Overall,Overall,170.0,3.3,,,2019-20,24,2019-20 / >= 65 yr
Entire Network,FluSurv-NET,2019-20,2020,13,>= 65 yr,Overall,Overall,Overall,171.0,1.1,,,2019-20,25,2019-20 / >= 65 yr
Entire Network,FluSurv-NET,2019-20,2020,14,>= 65 yr,Overall,Overall,Overall,172.0,0.3,,,2019-20,26,2019-20 / >= 65 yr
Entire Network,FluSurv-NET,2019-20,2020,15,>= 65 yr,Overall,Overall,Overall,172.0,0.1,,,2019-20,27,2019-20 / >= 65 yr
Entire Network,FluSurv-NET,2019-20,2020,16,>= 65 yr,Overall,Overall,Overall,172.0,0.3,,,2019-20,28,2019-20 / >= 65 yr
Entire Network,FluSurv-NET,2019-20,2020,17,>= 65 yr,Overall,Overall,Overall,172.0,0.1,,,2019-20,29,2019-20 / >= 65 yr
Entire Network,FluSurv-NET,2019-20,2020,18,>= 65 yr,Overall,Overall,Overall,172.0,0.0,,,2019-20,30,2019-20 / >= 65 yr
