CATCHMENT,NETWORK,YEAR,YEAR.1,WEEK,AGE CATEGORY,SEX CATEGORY,RACE CATEGORY,VIRUS TYPE CATEGORY,CUMULATIVE RATE,WEEKLY RATE,AGE ADJUSTED CUMULATIVE RATE,AGE ADJUSTED WEEKLY RATE,season,t,series_name
Entire Network,FluSurv-NET,2019-20,2019,40,Overall,Overall,Overall,Overall,0.0,0.1,,,2019-20,0,2019-20 / Overall
Entire Network,FluSurv-NET,2019-20,2019,41,Overall,Overall,Overall,Overall,0.0,0.1,,,2019-20,1,2019-20 / Overall
Entire Network,FluSurv-NET,2019-20,2019,42,Overall,Overall,Overall,Overall,0.0,0.2,,,2019-20,2,2019-20 / Overall
Entire Network,FluSurv-NET,2019-20,2019,43,Overall,Overall,Overall,Overall,1.0,0.2,,,2019-20,3,2019-20 / Overall
Entire Network,FluSurv-NET,2019-20,2019,44,Overall,Overall,Overall,Overall,1.0,0.2,,,2019-20,4,2019-20 / Overall
Entire Network,FluSurv-NET,2019-20,2019,45,Overall,Overall,Overall,Overall,1.0,0.3,,,2019-20,5,2019-20 / Overall
Entire Network,FluSurv-NET,2019-20,2019,46,Overall,Overall,Overall,Overall,2.0,0.4,,,2019-20,6,2019-20 / Overall
Entire Network,FluSurv-NET,2019-20,2019,47,Overall,Overall,Overall,Overall,2.0,0.6,,,2019-20,7,2019-20 / Overall
Entire Network,FluSurv-NET,2019-20,2019,48,Overall,Overall,Overall,Overall,3.0,0.9,,,2019-20,8,2019-20 / Overall
Entire Network,FluSurv-NET,2019-20,2019,49,Overall,Overall,Overall,Overall,4.0,1.3,,,2019-20,9,2019-20 / Overall
Entire Network,FluSurv-NET,2019-20,2019,50,Overall,Overall,Overall,Overall,6.0,1.7,,,2019-20,10,2019-20 / Overall
Entire Network,FluSurv-NET,2019-20,2019,51,Overall,Overall,Overall,Overall,9.0,2.4,,,2019-20,11,2019-20 / Overall
Entire Network,FluSurv-NET,2019-20,2019,52,Overall,Overall,Overall,Overall,13.0,4.5,,,2019-20,12,2019-20 / Overall
Entire Network,FluSurv-NET,2019-20,2020,1,Overall,Overall,Overall,Overall,18.0,5.3,,,2019-20,13,2019-20 / Overall
Entire Network,FluSurv-NET,2019-20,2020,2,Overall,Overall,Overall,Overall,23.0,4.5,,,2019-20,14,2019-20 / Overall
Entire Network,FluSurv-NET,2019-20,2020,3,Overall,Overall,Overall,Overall,27.0,4.2,,,2019-20,15,2019-20 / Overall
Entire Network,FluSurv-NET,2019-20,2020,4,Overall,Overall,Overall,Overall,32.0,4.6,,,2019-20,16,2019-20 / Overall
Entire Network,FluSurv-NET,2019-20,2020,5,Overall,Overall,Overall,Overall,37.0,5.3,,,2019-20,17,2019-20 / Overall
Entire Network,FluSurv-NET,2019-20,2020,6,Overall,Overall,Overall,Overall,43.0,6.0,,,2019-20,18,2019-20 / Overall
Entire Network,FluSurv-NET,2019-20,2020,7,Overall,Overall,Overall,Overall,48.0,5.0,,,2019-20,19,2019-20 / Overall
Entire Network,FluSurv-NET,2019-20,2020,8,Overall,Overall,Overall,Overall,53.0,5.0,,,2019-20,20,2019-20 / Overall
Entire Network,FluSurv-NET,2019-20,2020,9,Overall,Overall,Overall,Overall,57.0,4.4,,,2019-20,21,2019-20 / Overall
Entire Network,FluSurv-NET,2019-20,2020,10,Overall,Overall,Overall,Overall,61.0,4.0,,,2019-20,22,2019-20 / Overall
Entire Network,FluSurv-NET,2019-20,2020,11,Overall,Overall,Overall,Overall,64.0,2.8,,,2019-20,23,2019-20 / Overall
Entire Network,FluSurv-NET,2019-20,2020,12,Overall,Overall,Overall,Overall,65.0,1.3,,,2019-20,24,2019-20 / Overall
Entire Network,FluSurv-NET,2019-20,2020,13,Overall,Overall,Overall,Overall,66.0,0.3,,,2019-20,25,2019-20 / Overall
Entire Network,FluSurv-NET,2019-20,2020,14,Overall,Overall,Overall,Overall,66.0,0.1,,,2019-20,26,2019-20 / Overall
Entire Network,FluSurv-NET,2019-20,2020,15,Overall,Overall,Overall,Overall,66.0,0.1,,,2019-20,27,2019-20 / Overall
Entire Network,FluSurv-NET,2019-20,2020,16,Overall,Overall,Overall,Overall,66.0,0.1,,,2019-20,28,2019-20 / Overall
Entire Network,FluSurv-NET,2019-20,2020,17,Overall,Overall,Overall,Overall,66.0,0.0,,,2019-20,29,2019-20 / Overall
Entire Network,FluSurv-NET,2019-20,2020,18,Overall,Overall,Overall,Overall,66.0,0.0,,,2019-20,30,2019-20 / Overall
