series_name,model_name,test_mae,test_rmse,test_smape,num_free_params,num_compartments
>= 65 yr,fractional_seir,0.11959681583178612,0.13760352401293877,0.5666378470580244,9,4
>= 65 yr,deterministic_seir,0.1196878756040543,0.1378255600252902,0.5658401807656324,8,4
>= 65 yr,delayed_observation_seir,0.11970456641955583,0.1378861859662869,0.5655169419902876,8,4
>= 65 yr,no_observation_search_discovery,0.12017517824692643,0.14021083521239677,0.5555443582267816,6,3
>= 65 yr,no_stability_discovery,0.12184782843297004,0.1397436279145986,0.6045766932584737,10,4
>= 65 yr,constrained_structure_discovery,0.12186566480808989,0.1397679351911928,0.6046787858283275,10,4
>= 65 yr,exhaustive_structure_discovery,0.12188932845779074,0.13980112530798272,0.6048333355990688,10,4
>= 65 yr,validation_only_structure_selection,0.12225933849260043,0.14031605659697508,0.6071474946139502,10,4
>= 65 yr,probabilistic_seir,0.12458020863317974,0.14731856160379553,0.5478895625555614,9,4
>= 65 yr,hospitalized_seihr,0.12952483717621566,0.15472341328505906,0.5463224001913388,11,5
>= 65 yr,random_structure_discovery,0.15184539270477482,0.17332135978211954,0.7976275759835275,10,4
>= 65 yr,equal_weight_point_ensemble,0.18638859589092913,0.21717507728820193,0.591232485331619,0,0
>= 65 yr,rolling_mean_2wk,0.2772727272727273,0.29962097268503635,0.7363917714702083,0,0
>= 65 yr,rolling_mean_4wk,0.3022727272727273,0.3228952827719285,0.772221316876069,0,0
>= 65 yr,lagged_ridge,0.3022727272727273,0.3228952827719285,0.772221316876069,0,0
>= 65 yr,lagged_gradient_boosting,0.3022727272727273,0.3228952827719285,0.772221316876069,0,0
>= 65 yr,last_observed,0.3272727272727272,0.3464101615137754,0.8060605958367005,0,0
>= 65 yr,arima_auto_small,0.3272727272727272,0.3464101615137754,0.8060605958367005,0,0
