CATCHMENT,NETWORK,YEAR,YEAR.1,WEEK,AGE CATEGORY,SEX CATEGORY,RACE CATEGORY,VIRUS TYPE CATEGORY,CUMULATIVE RATE,WEEKLY RATE,AGE ADJUSTED CUMULATIVE RATE,AGE ADJUSTED WEEKLY RATE,season,t,series_name
Entire Network,FluSurv-NET,2023-24,2023,40,Overall,Overall,Overall,Overall,0.0,0.2,,,2023-24,0,2023-24 / Overall
Entire Network,FluSurv-NET,2023-24,2023,41,Overall,Overall,Overall,Overall,0.0,0.2,,,2023-24,1,2023-24 / Overall
Entire Network,FluSurv-NET,2023-24,2023,42,Overall,Overall,Overall,Overall,1.0,0.3,,,2023-24,2,2023-24 / Overall
Entire Network,FluSurv-NET,2023-24,2023,43,Overall,Overall,Overall,Overall,1.0,0.3,,,2023-24,3,2023-24 / Overall
Entire Network,FluSurv-NET,2023-24,2023,44,Overall,Overall,Overall,Overall,1.0,0.5,,,2023-24,4,2023-24 / Overall
Entire Network,FluSurv-NET,2023-24,2023,45,Overall,Overall,Overall,Overall,2.0,0.8,,,2023-24,5,2023-24 / Overall
Entire Network,FluSurv-NET,2023-24,2023,46,Overall,Overall,Overall,Overall,3.0,0.9,,,2023-24,6,2023-24 / Overall
Entire Network,FluSurv-NET,2023-24,2023,47,Overall,Overall,Overall,Overall,5.0,1.4,,,2023-24,7,2023-24 / Overall
Entire Network,FluSurv-NET,2023-24,2023,48,Overall,Overall,Overall,Overall,7.0,2.1,,,2023-24,8,2023-24 / Overall
Entire Network,FluSurv-NET,2023-24,2023,49,Overall,Overall,Overall,Overall,10.0,2.9,,,2023-24,9,2023-24 / Overall
Entire Network,FluSurv-NET,2023-24,2023,50,Overall,Overall,Overall,Overall,14.0,4.1,,,2023-24,10,2023-24 / Overall
Entire Network,FluSurv-NET,2023-24,2023,51,Overall,Overall,Overall,Overall,20.0,6.7,,,2023-24,11,2023-24 / Overall
Entire Network,FluSurv-NET,2023-24,2023,52,Overall,Overall,Overall,Overall,29.0,8.9,,,2023-24,12,2023-24 / Overall
Entire Network,FluSurv-NET,2023-24,2024,1,Overall,Overall,Overall,Overall,36.0,6.9,,,2023-24,13,2023-24 / Overall
