round,repeat,record_key,spec_key,structure_name,fractional,observation_map,delay_weeks,observation_family,num_free_params,num_compartments,train_objective,train_mae,train_rmse,val_mae,val_rmse,val_smape,rolling_val_mean_mae,rolling_val_mean_rmse,multi_split_blocks,multi_split_val_mean_mae,multi_split_val_std_mae,multi_split_penalty,rolling_val_error_std,rolling_val_metrics,stability_penalty,complexity_penalty,complexity_penalty_params,complexity_penalty_compartments,complexity_penalty_fractional,complexity_penalty_observation,complexity_penalty_h_observation,complexity_penalty_delay,complexity_penalty_recurrence,age_prior_penalty,score_policy,score_formula,score,score_used_val_mae,score_used_multi_split,score_used_stability,score_used_complexity,score_used_age_prior,params
2,,SIR|fractional=0|obs=delayed_I|delay=1,SIR|fractional=0|obs=delayed_I|delay=1,SIR,False,delayed_I,1,delayed,6,3,0.3244673715963976,0.3482988638151727,0.504990557146128,0.39645380136332353,0.42485758799213835,0.9775328817974567,0.3306266148912442,0.3681663609897862,3,0.3172377708532972,0.1286266886972106,0.0643133443486053,0.1618876301251533,"{'1': {'mae': 0.339205113389125, 'rmse': 0.3774507242198395, 'smape': 0.887747674672189}, '2': {'mae': 0.33498814608705607, 'rmse': 0.3761278779494995, 'smape': 0.9281566030634342}, '4': {'mae': 0.31768658519755144, 'rmse': 0.35092048080001975, 'smape': 0.9517713327076119}}",0.03237752602503066,0.125,0.06,0.06,0.0,0.0,0.0,0.005,0.0,0.0,stability_aware,multi_split_mean_mae + multi_split_penalty + stability_penalty + complexity_penalty + age_prior_penalty,0.5389286412269332,False,True,True,True,True,"{'b0': 0.12411365435500091, 'b1': 1.5701923831865325, 'b2': -1.4477951012127517, 'gamma': 0.10083123387783945, 'rho': 9.383430501460623, 'S0': 0.9674036322201522, 'I0': 0.03259636777984789, 'R0': 0.0, 'fractional': 0.0}"
2,,SIR|fractional=0|obs=delayed_I|delay=2,SIR|fractional=0|obs=delayed_I|delay=2,SIR,False,delayed_I,2,delayed,6,3,0.32213948988321234,0.3478151402591972,0.5057147602265225,0.39594494840184563,0.4243724352454286,0.976913419814383,0.3299528558194129,0.36750159865036996,3,0.3165751000893916,0.12847405778652493,0.06423702889326247,0.16175407887630744,"{'1': {'mae': 0.3385690966466543, 'rmse': 0.37678909017902323, 'smape': 0.8869487878106417}, '2': {'mae': 0.3343160716735328, 'rmse': 0.3754437709202558, 'smape': 0.9272508640075645}, '4': {'mae': 0.3169733991380516, 'rmse': 0.3502719348518308, 'smape': 0.9505946993301093}}",0.03235081577526149,0.13,0.06,0.06,0.0,0.0,0.0,0.01,0.0,0.0,stability_aware,multi_split_mean_mae + multi_split_penalty + stability_penalty + complexity_penalty + age_prior_penalty,0.5431629447579156,False,True,True,True,True,"{'b0': 0.19961094844418217, 'b1': 1.6140491603069933, 'b2': -1.2403707839417055, 'gamma': 0.10088778211128549, 'rho': 9.347996828128588, 'S0': 0.9658968007697918, 'I0': 0.03410319923020829, 'R0': 0.0, 'fractional': 0.0}"
2,,SIR|fractional=0|obs=delayed_I|delay=3,SIR|fractional=0|obs=delayed_I|delay=3,SIR,False,delayed_I,3,delayed,6,3,0.31912651231245015,0.34885721968420824,0.5072303727435812,0.39496177407773,0.42343255886594294,0.9757196728412296,0.32925836508208534,0.36673092637444155,3,0.3159217449092119,0.1280706943677148,0.0640353471838574,0.16142148725925423,"{'1': {'mae': 0.33793989974451855, 'rmse': 0.37606698576912534, 'smape': 0.8862983413665659}, '2': {'mae': 0.3336409142671455, 'rmse': 0.37467208884849224, 'smape': 0.9265063572358362}, '4': {'mae': 0.3161942812345921, 'rmse': 0.34945370450570695, 'smape': 0.9494884385728293}}",0.032284297451850845,0.135,0.06,0.06,0.0,0.0,0.0,0.015,0.0,0.0,stability_aware,multi_split_mean_mae + multi_split_penalty + stability_penalty + complexity_penalty + age_prior_penalty,0.5472413895449202,False,True,True,True,True,"{'b0': 0.2792005270748821, 'b1': 1.5931106061197857, 'b2': -1.0100665193289786, 'gamma': 0.10098966802576102, 'rho': 9.30993478982571, 'S0': 0.963227917239395, 'I0': 0.03677208276060502, 'R0': 0.0, 'fractional': 0.0}"
1,,SEIR|fractional=0|obs=I,SEIR|fractional=0|obs=I,SEIR,False,I,0,infectious,8,4,0.3991217562088897,0.36201321788559043,0.5127177648171726,0.4015608000045221,0.4297796941267186,0.9836065312689168,0.3386621948875468,0.3751329686776311,3,0.32537266150181704,0.12788800356768873,0.06394400178384436,0.16126606051585604,"{'1': {'mae': 0.3478344362269079, 'rmse': 0.3850468757911984, 'smape': 0.9012254731992444}, '2': {'mae': 0.34318563785822304, 'rmse': 0.3832133818923858, 'smape': 0.9414036625634519}, '4': {'mae': 0.32496651057750936, 'rmse': 0.3571386483493091, 'smape': 0.9645910524766756}}",0.03225321210317121,0.16,0.08,0.08,0.0,0.0,0.0,0.0,0.0,-0.005,stability_aware,multi_split_mean_mae + multi_split_penalty + stability_penalty + complexity_penalty + age_prior_penalty,0.5765698753888326,False,True,True,True,True,"{'b0': 0.6371646640758349, 'b1': 2.101298169219873, 'b2': -1.8466862715455803, 'sigma': 0.9226418472020959, 'gamma': 0.10041073553007433, 'rho': 9.425407221707266, 'S0': 0.960001425585458, 'E0': 0.01996454906411509, 'I0': 0.020034025350426917, 'R0': 0.0, 'fractional': 0.0}"
1,,SEIR|fractional=0|obs=delayed_I|delay=1,SEIR|fractional=0|obs=delayed_I|delay=1,SEIR,False,delayed_I,1,delayed,8,4,0.3924553963945897,0.3569397271844242,0.5126981050157954,0.4025382281249022,0.43072222831104473,0.9847605855603007,0.33896084833664825,0.3755489355053196,3,0.325627697675018,0.12831291596873426,0.06415645798436713,0.16160623014967934,"{'1': {'mae': 0.34804663388941653, 'rmse': 0.3853858976915539, 'smape': 0.9012373402248768}, '2': {'mae': 0.3434679233993206, 'rmse': 0.38361115592902845, 'smape': 0.9415304697536864}, '4': {'mae': 0.32536798772120773, 'rmse': 0.3576497528953764, 'smape': 0.9650109043758311}}",0.03232124602993587,0.165,0.08,0.08,0.0,0.0,0.0,0.005,0.0,-0.005,stability_aware,multi_split_mean_mae + multi_split_penalty + stability_penalty + complexity_penalty + age_prior_penalty,0.582105401689321,False,True,True,True,True,"{'b0': 0.7646778500721555, 'b1': 2.1341019012948337, 'b2': -1.5736253250676349, 'sigma': 0.9176119783615267, 'gamma': 0.10033067687420445, 'rho': 9.381516046994479, 'S0': 0.9577899930953306, 'E0': 0.021689244183537883, 'I0': 0.020520762721131267, 'R0': 0.0, 'fractional': 0.0}"
1,,SEIR|fractional=0|obs=delayed_I|delay=2,SEIR|fractional=0|obs=delayed_I|delay=2,SEIR,False,delayed_I,2,delayed,8,4,0.3843258369614704,0.3586286650656826,0.5147140469262954,0.4022042942804223,0.4304059434337121,0.9843551902185123,0.3356913912817017,0.37353364452714355,3,0.32216174693623667,0.1306488601260951,0.06532443006304756,0.16371176070218615,"{'1': {'mae': 0.34266159829273213, 'rmse': 0.3823979506240782, 'smape': 0.8889589278516731}, '2': {'mae': 0.3401833823840931, 'rmse': 0.38141149769796817, 'smape': 0.9351026884414497}, '4': {'mae': 0.32422919316827997, 'rmse': 0.35679148525938437, 'smape': 0.9628275145285421}}",0.032742352140437234,0.17,0.08,0.08,0.0,0.0,0.0,0.01,0.0,-0.005,stability_aware,multi_split_mean_mae + multi_split_penalty + stability_penalty + complexity_penalty + age_prior_penalty,0.5852285291397215,False,True,True,True,True,"{'b0': 0.9023738563284367, 'b1': 2.057433413030459, 'b2': -1.2405541010179828, 'sigma': 0.9048361948183486, 'gamma': 0.10037436049362165, 'rho': 9.339901973761034, 'S0': 0.9544693794364186, 'E0': 0.02330618996800696, 'I0': 0.02222443059557446, 'R0': 0.0, 'fractional': 0.0}"
1,,SEIHR|fractional=0|obs=H,SEIHR|fractional=0|obs=H,SEIHR,False,H,0,hospitalized,11,5,0.47939271534236105,0.36732758368681245,0.516609130219135,0.38609259927026685,0.4149452218843216,0.9648542793458674,0.30285870522798936,0.3442442281595138,3,0.29055216397911765,0.10968203618138664,0.05484101809069332,0.16272538694542385,"{'1': {'mae': 0.31331902242429466, 'rmse': 0.3513511083573092, 'smape': 0.8540296487446909}, '2': {'mae': 0.2940711510173008, 'rmse': 0.3476312501627799, 'smape': 0.8733909531756162}, '4': {'mae': 0.30118594224237255, 'rmse': 0.3337503259584523, 'smape': 0.9267809450087557}}",0.03254507738908477,0.21500000000000002,0.11,0.1,0.0,0.0,0.005,0.0,0.0,0.0,stability_aware,multi_split_mean_mae + multi_split_penalty + stability_penalty + complexity_penalty + age_prior_penalty,0.5929382594588957,False,True,True,True,True,"{'b0': 2.614806084289879, 'b1': 2.2432378064141036, 'b2': -1.1218141715207215, 'sigma': 0.9592495356223626, 'eta': 0.7904298714661804, 'gamma_i': 0.10078512509511736, 'gamma_h': 0.10186950801049961, 'rho': 10.737519586161998, 'S0': 0.9490406169675275, 'E0': 0.010235166947302988, 'I0': 0.004459928622360573, 'H0': 0.03626428746280881, 'R0': 0.0, 'fractional': 0.0}"
1,,SEIR|fractional=1|obs=I,SEIR|fractional=1|obs=I,SEIR,True,I,0,infectious,9,4,0.406539204746577,0.36465140052415823,0.5127789714856158,0.4249535375433293,0.4517544605131821,1.011664770758838,0.34992860885367033,0.38752805430870785,3,0.3359428306019516,0.13406292150501148,0.06703146075250574,0.16644633508402631,"{'1': {'mae': 0.35796633396178257, 'rmse': 0.3963630977189574, 'smape': 0.9122953839963145}, '2': {'mae': 0.3546768273480082, 'rmse': 0.395629470843224, 'smape': 0.9546519443956567}, '4': {'mae': 0.3371426652512202, 'rmse': 0.3705915943639421, 'smape': 0.9806504676119576}}",0.03328926701680526,0.185,0.09,0.08,0.015,0.0,0.0,0.0,0.0,-0.0025,stability_aware,multi_split_mean_mae + multi_split_penalty + stability_penalty + complexity_penalty + age_prior_penalty,0.6187635583712627,False,True,True,True,True,"{'b0': 0.7220699657120706, 'b1': 2.141841388014118, 'b2': -1.940072494878867, 'sigma': 0.9227841176089803, 'gamma': 0.10825370470054879, 'rho': 9.695470078957268, 'alpha': 0.9840562540785375, 'S0': 0.9600227167013018, 'E0': 0.01990598598233774, 'I0': 0.020071297316360343, 'R0': 0.0, 'fractional': 1.0}"
2,,SEIR|fractional=1|obs=delayed_I|delay=1,SEIR|fractional=1|obs=delayed_I|delay=1,SEIR,True,delayed_I,1,delayed,9,4,0.40013961373317414,0.359079596111968,0.512552099546942,0.4258910334931361,0.45260730064911375,1.0128052191859507,0.3491267043556739,0.38741851692849066,3,0.3349279608701642,0.13290663231834313,0.06645331615917156,0.16791996782904675,"{'1': {'mae': 0.35503375383226154, 'rmse': 0.3926350004515598, 'smape': 0.9099912018723437}, '2': {'mae': 0.35031092699463784, 'rmse': 0.39037999167676096, 'smape': 0.9506718976025861}, '4': {'mae': 0.3420354322401223, 'rmse': 0.37924055865715117, 'smape': 0.9832629257267536}}",0.03358399356580935,0.19,0.09,0.08,0.015,0.0,0.0,0.005,0.0,-0.0025,stability_aware,multi_split_mean_mae + multi_split_penalty + stability_penalty + complexity_penalty + age_prior_penalty,0.6224652705951452,False,True,True,True,True,"{'b0': 0.851440696945317, 'b1': 2.190363756259156, 'b2': -1.6767023308328124, 'sigma': 0.9187603883489219, 'gamma': 0.10768665760968, 'rho': 9.633863519044995, 'alpha': 0.9849647558229242, 'S0': 0.9578176373383541, 'E0': 0.021682466907758977, 'I0': 0.02049989575388684, 'R0': 0.0, 'fractional': 1.0}"
1,,SEIHR|fractional=0|obs=I,SEIHR|fractional=0|obs=I,SEIHR,False,I,0,infectious,11,5,0.4216995513867969,0.36120644755049985,0.5144062884863507,0.40241895617524515,0.4305986669087225,0.9846368654525156,0.32958264994306485,0.3695736610265333,3,0.31548206207064905,0.13468028710374003,0.06734014355187001,0.1671408804345164,"{'1': {'mae': 0.33718875424603273, 'rmse': 0.37813743732157773, 'smape': 0.8802119793130192}, '2': {'mae': 0.3335969438071801, 'rmse': 0.3770693879436574, 'smape': 0.9217545819218166}, '4': {'mae': 0.3179622517759818, 'rmse': 0.35351415781436485, 'smape': 0.9477866086060738}}",0.03342817608690328,0.21000000000000002,0.11,0.1,0.0,0.0,0.0,0.0,0.0,0.0,stability_aware,multi_split_mean_mae + multi_split_penalty + stability_penalty + complexity_penalty + age_prior_penalty,0.6262503817094224,False,True,True,True,True,"{'b0': 0.8925478788385878, 'b1': 2.2012536419441817, 'b2': -1.865467836337618, 'sigma': 0.9191085805466875, 'eta': 0.05027151275076391, 'gamma_i': 0.05004462415813319, 'gamma_h': 0.5011451635051865, 'rho': 11.004478178880566, 'S0': 0.8230029307383898, 'E0': 0.016228307488709844, 'I0': 0.016092702500349908, 'H0': 0.1446760592725505, 'R0': 0.0, 'fractional': 0.0}"
