t,actual,full_fit_prediction,test_forecast_prediction,segment,lower_50,upper_50,lower_80,upper_80,lower_95,upper_95,raw_lower_50,raw_upper_50,raw_lower_80,raw_upper_80,raw_lower_95,raw_upper_95
0,0.1,0.09374221502049335,0.09157507046450047,train,-0.031233949587238297,0.23076450350248756,-0.0040387328724234145,0.2672500047593391,0.0,0.3724837033196302,0.012936067472846001,0.18070303709487978,0.0,0.25982948484238483,0.0,0.3724837033196302
1,0.1,0.19952308822219073,0.1815465196332897,train,0.016991225202245108,0.4778925502441125,0.02294605146945991,0.544443701551594,0.0,0.6666681220728085,0.07617588573682386,0.3713074702373367,0.029645344897814098,0.5291149024998647,0.0,0.6666681220728085
2,0.1,0.2535387616204772,0.2383123544756834,train,0.14805933565782048,0.4039464986480187,0.07381307945498455,0.40488700133207034,0.0,0.5018092992634827,0.18052012216380867,0.34437381440428566,0.08076153884399993,0.3978508781103994,0.0,0.5018092992634827
3,0.2,0.3162091006059127,0.30502290150020794,train,0.18895131740843868,0.5734324734066729,0.19098745306118764,0.531625510492276,0.08757229683751053,0.6592606661238871,0.23069811945412336,0.4768951395430548,0.19580431734394502,0.5220538024964312,0.08757229683751053,0.6592606661238871
4,0.2,0.3947466451747932,0.3892048798911248,train,0.34487057485979744,0.517763523239613,0.16031102984137946,0.6598380491951025,0.12589994543438415,0.751855524454736,0.3608160405003156,0.4715255720896753,0.16997951999895555,0.6484064876517912,0.12589994543438418,0.751855524454736
5,0.6,0.49209768875634335,0.4942328350804172,train,0.3342805333735489,0.6476027915102645,0.27381259674957564,0.7122418343737686,0.20955835001744721,0.7126050629356996,0.39180966187091526,0.5924410974493824,0.28312316103240437,0.703033120974642,0.20955835001744724,0.7126050629356996
6,0.7,0.6103944059815227,0.6223114659880179,train,0.48556795647447504,0.7611074149337892,0.4679722776296743,0.8163441906480259,0.25649282195114315,0.9073123513055178,0.5347497115729555,0.7111874706966109,0.47449157433968475,0.8081482365487119,0.25649282195114315,0.9073123513055178
7,0.6,0.7505940130131167,0.7740623461046221,train,0.6610845844630964,0.9593964882938615,0.569885211886569,0.9348128789323578,0.4104758538956005,1.0153284210056464,0.7017186491027618,0.892738418561964,0.5785096664630477,0.9280227666417379,0.4104758538956005,1.0153284210056464
8,0.9,0.9117283535867924,0.9476624252269606,train,0.7441376680748109,1.0379461268782026,0.7267732898391465,1.1761659049071145,0.6219370736830685,1.3071115344390911,0.8173382521342933,1.0054743048532173,0.7361036603622009,1.1665139040177095,0.6219370736830685,1.3071115344390911
9,1.3,1.0901331842230542,1.1380420619878893,train,0.9407957075390694,1.172148128902919,0.8828751399402522,1.2365563028711828,0.8768288862459998,1.4175521423702784,1.0117381744472276,1.1598813951006741,0.8936534062581126,1.2323950553402674,0.8768288862459998,1.4175521423702784
