series_name,model_name,test_mae,test_rmse,test_smape,num_free_params,num_compartments
50-64 yr,validation_only_structure_selection,0.03212085596758132,0.03767725972705148,0.6099124468675018,10,4
50-64 yr,no_observation_search_discovery,0.03700940646387867,0.04247950086829428,0.7289725797926888,8,4
50-64 yr,exhaustive_structure_discovery,0.03716067956593738,0.04258430615513873,0.7349211582732568,6,3
50-64 yr,no_stability_discovery,0.037160680396823326,0.04258430672269416,0.7349211956369112,6,3
50-64 yr,random_structure_discovery,0.03716068424392766,0.042584309601947215,0.7349213522707618,6,3
50-64 yr,constrained_structure_discovery,0.03716071590324784,0.04258433382717988,0.7349226067605028,6,3
50-64 yr,hospitalized_seihr,0.037226253642023754,0.04263565827473711,0.7376054553854885,11,5
50-64 yr,probabilistic_seir,0.03780529362965319,0.0431150989019572,0.6842716814261496,9,4
50-64 yr,delayed_observation_seir,0.03795986064589478,0.04350186165967403,0.767186917993604,8,4
50-64 yr,deterministic_seir,0.03803641800022146,0.04362161082280792,0.7703903587066964,8,4
50-64 yr,equal_weight_point_ensemble,0.07382438116607834,0.08221527312229844,0.7271077889149165,0,0
50-64 yr,fractional_seir,0.09968796664101695,0.10784845584165192,0.8448720100506598,9,4
50-64 yr,last_observed,0.11818181818181818,0.12431631210161223,0.9090908727272743,0,0
50-64 yr,rolling_mean_2wk,0.11818181818181818,0.12431631210161223,0.9090908727272743,0,0
50-64 yr,arima_auto_small,0.11818181818181818,0.12431631210161223,0.9090908727272743,0,0
50-64 yr,rolling_mean_4wk,0.14318181818181816,0.14828565798362414,0.993006957480128,0,0
50-64 yr,lagged_ridge,0.14318181818181816,0.14828565798362414,0.993006957480128,0,0
50-64 yr,lagged_gradient_boosting,0.14318181818181816,0.14828565798362414,0.993006957480128,0,0
