t,actual,full_fit_prediction,test_forecast_prediction,segment,lower_50,upper_50,lower_80,upper_80,lower_95,upper_95
0,0.7,0.4218538092335893,0.4191022974546282,train,-0.1932655533383408,1.0850689762035983,-0.6208223618348191,2.0846699107166793,-1.2341248545367436,3.0664203551732707
1,0.7,0.4594393569536657,0.4569073907727734,train,0.04749551442887398,1.100659770584346,-0.5686783746494911,1.6547705775814379,-1.2526211242855672,2.355744722950695
2,0.6,0.6890730089933276,0.6851994754182911,train,0.07298129598858633,1.3004955868968828,-0.5334256420998882,1.867412437288575,-1.5554727380131195,2.684205597298647
3,0.5,0.8954223887597177,0.8907102093913927,train,0.3839253386669257,1.3552599453603564,-0.32142854984789615,1.9366138307754934,-1.2501737941277706,3.126701443794983
4,1.1,1.2135194648637586,1.2075283094633031,train,0.7616634510777042,1.8183915484137063,-0.033921037890004856,2.4188852293736445,-0.843019705420182,3.334592380152607
5,1.6,1.6382754839749114,1.6308670630433273,train,1.0737839108128322,2.0616951772597405,0.5849851261328558,2.6628946662416046,-0.4348615636982124,3.470962400588443
6,2.1,2.2758241747329992,2.2666111630994337,train,1.6910989550791353,2.7022021346912912,1.331171996026404,3.4818890822750177,0.9423331116805012,4.395050161463472
7,3.4,3.259807194784203,3.2483349748990435,train,2.6157656664449056,3.8024462059599826,1.8537616098717868,4.3953518574843455,1.2059268970001469,5.053970074371943
8,5.4,4.850438043649921,4.836153192745035,train,4.137130625545469,5.37672265365252,3.792107382883736,5.83532460974815,3.3249020872204653,6.8491130770507045
9,7.6,7.450190901007442,7.432743900630521,train,6.908970893886838,7.964845937238241,6.304360049777886,8.356825870972585,5.687469667216465,9.470890936769194
10,10.6,11.546323684699523,11.526386481755221,train,10.903146620347592,12.114861545613307,10.501055090021447,12.684497833625212,9.03673085910055,13.139877036640959
11,17.4,17.039811441776045,17.020403759540148,train,16.2801404291316,17.615813423873284,15.671441679821111,18.26052171783575,15.213393018240724,18.91780080078183
12,25.3,21.217114215778604,21.20184773853485,train,20.77562707404943,21.806281764460294,20.28902509110045,22.366265857080528,19.333634049953556,23.145831158528242
13,19.3,18.689832132236216,18.67221018338511,train,18.059132589237873,19.247720689387762,17.615661982755594,19.75593157299576,17.12561472820686,20.205940090544168
14,14.8,16.436353733295178,16.42270172162696,train,16.14718829811149,17.116118862796178,15.60443469724957,17.77254911189857,14.921435682672579,18.662764679785774
15,12.0,14.481037081034936,14.46256321616127,train,13.957627951929293,14.968928069646983,13.438249159319982,15.461185662612792,12.908946356620806,16.13995687463877
16,10.2,12.712621896522585,12.70461593691411,train,12.094328573503013,13.241919596584111,11.744937159060843,13.811393217013531,11.105197400297126,14.511664473625435
17,9.6,11.239932241113006,11.215827345474208,train,10.753605924718244,11.772326846242022,10.24830724534176,12.333853478245363,9.326334377574517,12.764906766867183
18,9.4,9.799893041317377,9.805581244642976,train,9.322572208464209,10.325318167971501,8.92796077621784,10.627648610931685,8.529497934687054,11.452643438890854
19,9.0,8.773886138846924,8.73244933799096,train,8.165034388519533,9.201108657965657,7.722846320431407,9.893296906595989,6.995143511053988,10.66555955907209
20,9.2,7.488782868207456,7.522243286482573,train,7.096959704730642,8.221028681064292,6.535880428627795,8.799640915570965,5.857525936476112,9.930419010945513
21,9.5,6.924871903513239,6.851379264894792,train,6.4949236628264515,7.587409754855378,5.648345369571832,8.113502652717894,4.507941098071367,8.676614223281431
22,7.2,5.663762537219865,5.729272714762932,train,5.283882728532213,6.296489328277519,4.612870362452753,6.915213053402992,3.5448464109925135,7.665123418547004
23,6.1,5.486661646572978,5.389316934525978,train,4.814854720948965,5.937973794755925,4.532813709175424,6.464997539087121,2.955029903113978,7.352900781594976
24,4.8,4.333551443893291,4.3983231966461975,train,3.7491462687747683,4.881350509813768,3.242825282178374,5.244430425395691,2.4695871502440983,6.380770795521874
25,5.0,4.232759511091869,4.160831997070141,train,3.554166870736112,4.778803126402322,2.84757513515104,5.423264331363886,2.076109365724929,6.172375370126844
26,4.4,3.432545310373228,3.4595389905027885,train,2.9335475414795305,4.1125817780489085,2.5769250796932157,4.518842513161578,2.002064955865043,5.526666441730789
27,3.6,3.1699819070398436,3.1485758355029465,train,2.7185012251806624,3.7452453135558352,2.2604609980229924,4.266015827258044,1.548812467313584,5.039984476038414
28,2.7,2.7265645587950336,2.7274950417081647,train,2.3957001622363454,3.312354403143814,1.8619623701362698,3.8302721525382752,0.4202932124544832,5.15021576357843
29,2.0,2.4136534111477768,2.4100112553693753,train,1.8319108472218038,2.8076514229587355,1.1084341974464202,3.325431004523301,0.3363189280321311,3.9933442196343742
30,1.5,2.121996078405793,2.119261169322266,train,1.6592728618331987,2.639847772900578,1.0901232925857365,3.3181575261620915,0.35953900632990304,4.544199741914751
31,1.3,1.8673020011634607,1.8647514343865044,validation,1.3465957991254978,2.4439015054550772,0.6889724288426867,3.0936869731623835,0.3875008432459782,4.125382639904175
