round,repeat,record_key,spec_key,structure_name,fractional,observation_map,delay_weeks,observation_family,num_free_params,num_compartments,train_objective,train_mae,train_rmse,val_mae,val_rmse,val_smape,rolling_val_mean_mae,rolling_val_mean_rmse,multi_split_blocks,multi_split_val_mean_mae,multi_split_val_std_mae,multi_split_penalty,rolling_val_error_std,rolling_val_metrics,stability_penalty,complexity_penalty,complexity_penalty_params,complexity_penalty_compartments,complexity_penalty_fractional,complexity_penalty_observation,complexity_penalty_h_observation,complexity_penalty_delay,complexity_penalty_recurrence,age_prior_penalty,score_policy,score_formula,score,score_used_val_mae,score_used_multi_split,score_used_stability,score_used_complexity,score_used_age_prior,params,random_draw_index,search_name,candidate_budget_requested,candidate_budget_actual,candidate_universe_size,random_repeats,random_seed
1,0,0:SEIRS|fractional=1|obs=delayed_I|delay=1,SEIRS|fractional=1|obs=delayed_I|delay=1,SEIRS,True,delayed_I,1,delayed,10,4,0.6827932989020759,0.4789544599238463,0.6396381022048342,0.2626845637821951,0.2995643290356281,0.5001949748874603,0.2539303969510677,0.2933719296452561,3,0.25717288892525675,0.03406215830396242,0.01703107915198121,0.14674512701989317,"{'1': {'mae': 0.24248029411101274, 'rmse': 0.2820416149365284, 'smape': 0.4530156934288548}, '2': {'mae': 0.24442011454324788, 'rmse': 0.2863036617376731, 'smape': 0.4870133442359113}, '4': {'mae': 0.2748907821989425, 'rmse': 0.31177051226156693, 'smape': 0.5831737599366196}}",0.029349025403978636,0.21000000000000002,0.1,0.08,0.015,0.0,0.0,0.005,0.01,-0.0075,stability_aware,multi_split_mean_mae + multi_split_penalty + stability_penalty + complexity_penalty + age_prior_penalty,0.5060529934812167,False,True,True,True,True,"{'b0': -1.2501671957210336, 'b1': 4.786493289099779, 'b2': 0.47133507057919594, 'sigma': 0.9836600448308868, 'gamma': 0.4950523372071167, 'omega': 0.1316945580911187, 'rho': 55.54095117018683, 'alpha': 0.9107789345707092, 'S0': 0.9745788383849158, 'E0': 0.010844045800115523, 'I0': 0.014577115814968832, 'R0': 0.0, 'fractional': 1.0}",1,random_structure_discovery,30,30,44,1,2259
20,0,0:SIR|fractional=0|obs=I,SIR|fractional=0|obs=I,SIR,False,I,0,infectious,6,3,1.7556523037856826,0.9020582549390314,1.2738803698249688,0.45326949597981914,0.5236909105462294,0.46865744556188627,0.3713583189822234,0.4486909675781982,3,0.35187932039307124,0.1906573639205754,0.0953286819602877,0.25171460157223574,"{'1': {'mae': 0.40932647884254647, 'rmse': 0.48729535110582817, 'smape': 0.4276219261017597}, '2': {'mae': 0.39363984100599164, 'rmse': 0.4792831966765409, 'smape': 0.438463999352337}, '4': {'mae': 0.31110863709813197, 'rmse': 0.3794943549522255, 'smape': 0.40640902342746715}}",0.05034292031444715,0.12,0.06,0.06,0.0,0.0,0.0,0.0,0.0,0.005,stability_aware,multi_split_mean_mae + multi_split_penalty + stability_penalty + complexity_penalty + age_prior_penalty,0.6225509226678061,False,True,True,True,True,"{'b0': 1.6513209093625338, 'b1': 0.5132622840756086, 'b2': -2.9823211340360376, 'gamma': 0.11855246382621004, 'rho': 27.550632829166023, 'S0': 0.972831597771197, 'I0': 0.027168402228802922, 'R0': 0.0, 'fractional': 0.0}",20,random_structure_discovery,30,30,44,1,2259
13,0,0:SIR|fractional=0|obs=delayed_I|delay=1,SIR|fractional=0|obs=delayed_I|delay=1,SIR,False,delayed_I,1,delayed,6,3,1.7538594235231888,0.9009854147976641,1.273453236063102,0.4531590478105092,0.5235871000565117,0.46856370627101607,0.3713017647879386,0.44862764016591733,3,0.3518258404908583,0.1906237586909097,0.09531187934545485,0.2516850308948534,"{'1': {'mae': 0.40926257076665723, 'rmse': 0.48721980907338724, 'smape': 0.42757796758604316}, '2': {'mae': 0.3935840456508461, 'rmse': 0.47921850888354844, 'smape': 0.43842181023285914}, '4': {'mae': 0.31105867794631237, 'rmse': 0.3794446025408163, 'smape': 0.406363298646421}}",0.05033700617897068,0.125,0.06,0.06,0.0,0.0,0.0,0.005,0.0,0.005,stability_aware,multi_split_mean_mae + multi_split_penalty + stability_penalty + complexity_penalty + age_prior_penalty,0.6274747260152839,False,True,True,True,True,"{'b0': 1.7454107273833481, 'b1': 0.778253665691449, 'b2': -2.9472746738135833, 'gamma': 0.11855795658978796, 'rho': 27.454136321257693, 'S0': 0.9707851115733469, 'I0': 0.029214888426653016, 'R0': 0.0, 'fractional': 0.0}",13,random_structure_discovery,30,30,44,1,2259
12,0,0:SEIR|fractional=0|obs=I,SEIR|fractional=0|obs=I,SEIR,False,I,0,infectious,8,4,1.8731278244294887,0.8838415937013286,1.2969092707248036,0.43718507759303205,0.5085409584180929,0.45493747443966565,0.35508631218586156,0.43892710226599435,3,0.3369311738022637,0.1787040770358648,0.0893520385179324,0.25787441896969515,"{'1': {'mae': 0.37541442514859225, 'rmse': 0.472864259620417, 'smape': 0.40506952553596937}, '2': {'mae': 0.3826226369341205, 'rmse': 0.46703578738087015, 'smape': 0.4297489466159437}, '4': {'mae': 0.3072218744748718, 'rmse': 0.37688125979669584, 'smape': 0.40196231102823504}}",0.051574883793939034,0.16,0.08,0.08,0.0,0.0,0.0,0.0,0.0,0.0,stability_aware,multi_split_mean_mae + multi_split_penalty + stability_penalty + complexity_penalty + age_prior_penalty,0.6378580961141351,False,True,True,True,True,"{'b0': 1.3276530804150235, 'b1': 2.0124953231329417, 'b2': -2.6262613689509475, 'sigma': 0.9963402354096311, 'gamma': 0.1193141083077621, 'rho': 27.670584500898784, 'S0': 0.9674114615294279, 'E0': 0.014875789528968376, 'I0': 0.017712748941603608, 'R0': 0.0, 'fractional': 0.0}",12,random_structure_discovery,30,30,44,1,2259
18,0,0:SIR|fractional=0|obs=delayed_I|delay=3,SIR|fractional=0|obs=delayed_I|delay=3,SIR,False,delayed_I,3,delayed,6,3,1.7575646641305716,0.9154615910649181,1.2767008677715668,0.45386479916729616,0.5242544781910397,0.4691592962630863,0.37179725494894367,0.44917667502000097,3,0.3522980561615577,0.19087503781686624,0.09543751890843312,0.25193252428084917,"{'1': {'mae': 0.40979647861962026, 'rmse': 0.48780737238547967, 'smape': 0.4279760333082974}, '2': {'mae': 0.39408488017468485, 'rmse': 0.4797704221919862, 'smape': 0.43881718298521183}, '4': {'mae': 0.31151040605252595, 'rmse': 0.37995223048253696, 'smape': 0.40676441297531385}}",0.050386504856169835,0.135,0.06,0.06,0.0,0.0,0.0,0.015,0.0,0.005,stability_aware,multi_split_mean_mae + multi_split_penalty + stability_penalty + complexity_penalty + age_prior_penalty,0.6381220799261607,False,True,True,True,True,"{'b0': 1.907698130319555, 'b1': 1.284056462279041, 'b2': -2.745997794226882, 'gamma': 0.1185257149157153, 'rho': 27.203227204944916, 'S0': 0.9644936730266492, 'I0': 0.03550632697335075, 'R0': 0.0, 'fractional': 0.0}",18,random_structure_discovery,30,30,44,1,2259
8,0,0:SEIR|fractional=0|obs=delayed_I|delay=1,SEIR|fractional=0|obs=delayed_I|delay=1,SEIR,False,delayed_I,1,delayed,8,4,1.8686726893344174,0.8817230554013934,1.2966954518818794,0.4373021230556035,0.5086523470894947,0.45503707767408397,0.36274825633015434,0.4399124809797656,3,0.34353974524290554,0.1872725718748955,0.09363628593744774,0.24873990807139978,"{'1': {'mae': 0.39796969649286484, 'rmse': 0.47475310848983787, 'smape': 0.41912705340927153}, '2': {'mae': 0.38559914817012214, 'rmse': 0.47266542210519996, 'smape': 0.4313038388805754}, '4': {'mae': 0.3046759243274761, 'rmse': 0.3723189123442589, 'smape': 0.40010441428852533}}",0.04974798161427996,0.165,0.08,0.08,0.0,0.0,0.0,0.005,0.0,0.0,stability_aware,multi_split_mean_mae + multi_split_penalty + stability_penalty + complexity_penalty + age_prior_penalty,0.6519240127946333,False,True,True,True,True,"{'b0': 1.4233378383999062, 'b1': 2.231222834705809, 'b2': -2.432948832119242, 'sigma': 0.996346471702674, 'gamma': 0.11930949606147537, 'rho': 27.58781221553131, 'S0': 0.9642671914710574, 'E0': 0.015449436930957256, 'I0': 0.020283371597985256, 'R0': 0.0, 'fractional': 0.0}",8,random_structure_discovery,30,30,44,1,2259
30,0,0:SEIR|fractional=0|obs=delayed_I|delay=3,SEIR|fractional=0|obs=delayed_I|delay=3,SEIR,False,delayed_I,3,delayed,8,4,1.843912519670114,0.862893648003832,1.2927281260402905,0.43678924246098483,0.5081738241508043,0.4545928093903752,0.356225774273028,0.43323176514771755,3,0.33815895491496817,0.18082383041130012,0.09041191520565006,0.2464868804857648,"{'1': {'mae': 0.38207149245915145, 'rmse': 0.45868967795605586, 'smape': 0.4105983701587984}, '2': {'mae': 0.385597574668781, 'rmse': 0.47288071258968967, 'smape': 0.4312310562525755}, '4': {'mae': 0.30100825569115147, 'rmse': 0.3681249048974071, 'smape': 0.3973913935220365}}",0.04929737609715296,0.175,0.08,0.08,0.0,0.0,0.0,0.015,0.0,0.0,stability_aware,multi_split_mean_mae + multi_split_penalty + stability_penalty + complexity_penalty + age_prior_penalty,0.6528682462177712,False,True,True,True,True,"{'b0': 1.4672733346930587, 'b1': 2.7416158516026106, 'b2': -1.9152237820730482, 'sigma': 0.996365543365202, 'gamma': 0.119336511427126, 'rho': 27.410895473579178, 'S0': 0.946964517627109, 'E0': 0.029070986931757584, 'I0': 0.023964495441133462, 'R0': 0.0, 'fractional': 0.0}",30,random_structure_discovery,30,30,44,1,2259
28,0,0:SEIRS|fractional=0|obs=delayed_I|delay=1,SEIRS|fractional=0|obs=delayed_I|delay=1,SEIRS,False,delayed_I,1,delayed,9,4,0.8074203698851716,0.5593083694770551,0.7296158858652604,0.4229322322605378,0.4486783206277152,1.0252186464869788,0.4205875892130367,0.4468453574083082,3,0.4246406336763768,0.03995327356247075,0.019976636781235374,0.15055573396881047,"{'1': {'mae': 0.40244087048867805, 'rmse': 0.4298850789689311, 'smape': 0.9477471210135049}, '2': {'mae': 0.409207924028302, 'rmse': 0.4376973330419705, 'smape': 1.0288899904762587}, '4': {'mae': 0.45011397312213014, 'rmse': 0.472953660214023, 'smape': 1.2330172829843646}}",0.030111146793762096,0.185,0.09,0.08,0.0,0.0,0.0,0.005,0.01,-0.005,stability_aware,multi_split_mean_mae + multi_split_penalty + stability_penalty + complexity_penalty + age_prior_penalty,0.6547284172513742,False,True,True,True,True,"{'b0': -2.162915869049896, 'b1': 5.010159140711237, 'b2': 0.8617190715724197, 'sigma': 0.9825121984223925, 'gamma': 0.299373088846817, 'omega': 0.1376112993052153, 'rho': 39.538509643761415, 'S0': 0.9695992456218878, 'E0': 0.013596988048706732, 'I0': 0.016803766329405587, 'R0': 0.0, 'fractional': 0.0}",28,random_structure_discovery,30,30,44,1,2259
5,0,0:SEIR|fractional=0|obs=delayed_I|delay=2,SEIR|fractional=0|obs=delayed_I|delay=2,SEIR,False,delayed_I,2,delayed,8,4,1.8604651409349928,0.8684135382200248,1.2960099168620238,0.43769577379577135,0.509024804579553,0.4553737465224262,0.3618760047135914,0.4388457257590572,3,0.3429092102733977,0.186520320875524,0.093260160437762,0.24812393596042137,"{'1': {'mae': 0.3983262129674549, 'rmse': 0.47510933747219375, 'smape': 0.41941647889058614}, '2': {'mae': 0.38576401620643613, 'rmse': 0.4726958619675588, 'smape': 0.43149565026630204}, '4': {'mae': 0.30153778496688305, 'rmse': 0.3687319778374191, 'smape': 0.3978592337142999}}",0.049624787192084276,0.17,0.08,0.08,0.0,0.0,0.0,0.01,0.0,0.0,stability_aware,multi_split_mean_mae + multi_split_penalty + stability_penalty + complexity_penalty + age_prior_penalty,0.655794157903244,False,True,True,True,True,"{'b0': 1.502970344530913, 'b1': 2.4389848992469814, 'b2': -2.2047019083683272, 'sigma': 0.9963355167327167, 'gamma': 0.11929242717062387, 'rho': 27.492806393481064, 'S0': 0.9588856847019066, 'E0': 0.018310932558213117, 'I0': 0.022803382739880144, 'R0': 0.0, 'fractional': 0.0}",5,random_structure_discovery,30,30,44,1,2259
7,0,0:SEIRS|fractional=1|obs=delayed_I|delay=2,SEIRS|fractional=1|obs=delayed_I|delay=2,SEIRS,True,delayed_I,2,delayed,10,4,0.6912687289347171,0.48549661271483224,0.6392589541574347,0.22560216476615938,0.26707053977674017,0.4130518264903299,0.29568273307953524,0.4179771209715686,3,0.2966702306517713,0.19384718965143152,0.09692359482571576,0.28780847787220054,"{'1': {'mae': 0.2091967381867069, 'rmse': 0.2515463384432135, 'smape': 0.3667648693642542}, '2': {'mae': 0.4164110475936349, 'rmse': 0.6852195986249068, 'smape': 0.5088028084483158}, '4': {'mae': 0.2614404134582638, 'rmse': 0.31716542584658547, 'smape': 0.5265551492177003}}",0.05756169557444011,0.21500000000000002,0.1,0.08,0.015,0.0,0.0,0.01,0.01,-0.0075,stability_aware,multi_split_mean_mae + multi_split_penalty + stability_penalty + complexity_penalty + age_prior_penalty,0.6586555210519273,False,True,True,True,True,"{'b0': -0.9971194252325829, 'b1': 4.635513437289438, 'b2': 0.9772923600742873, 'sigma': 0.9831349631608841, 'gamma': 0.5570285334730815, 'omega': 0.12934757031470132, 'rho': 60.55166880773, 'alpha': 0.8897787041353644, 'S0': 0.9788195549434439, 'E0': 0.006783261037077444, 'I0': 0.01439718401947877, 'R0': 0.0, 'fractional': 1.0}",7,random_structure_discovery,30,30,44,1,2259
