t,actual,full_fit_prediction,test_forecast_prediction,segment,lower_50,upper_50,lower_80,upper_80,lower_95,upper_95
0,0.2,0.1947581386863323,0.19273597302047335,train,0.01265848981866688,0.36241997354780897,0.0,0.4571770283452628,0.0,0.6053266906907867
1,0.2,0.1973541183225442,0.19546630308987883,train,0.04791016007218172,0.46396685123500625,0.0,0.5534547687976643,0.0,0.8420135457815812
2,0.3,0.30597074240753275,0.30435504798426727,train,0.13978208246034252,0.5022411528615867,0.0,0.6791426853987386,0.0,0.7599987538973766
3,0.3,0.39142519473443593,0.39008008985156645,train,0.2889144114220008,0.6135882000902793,0.10019874573837592,0.8409565299676756,0.0,1.4925489074982599
4,0.5,0.5271884020354318,0.5265506401953655,train,0.22998014947172127,0.643604652106884,0.0,0.8928429798837084,0.0,1.281650335642515
5,0.8,0.7012486275282787,0.7013728418737102,train,0.5194126877742464,0.83784178144044,0.48333120842422894,1.291418054101505,0.2547673096400729,1.3426634934088673
6,0.9,0.9579428242381681,0.9590043397803761,train,0.7148520922196107,1.1128842970791455,0.5787572185358244,1.2286267945223488,0.44948716163234465,1.3347950890028117
7,1.4,1.344885612846483,1.346699431136621,train,1.0509013364745554,1.5520384673404186,0.9069039703382517,1.6210212999846,0.6561884185016276,2.075198050749425
8,2.1,1.957835604640259,1.9596129892352427,train,1.8195765580685974,2.0869127902143187,1.421485089128649,2.217782279271948,1.2328795382680409,2.3831704610471953
9,2.9,2.9384742521460616,2.937739026445852,train,2.702859347770408,3.154051677665157,2.6279004180838763,3.298800939119403,2.514154578721838,3.49157461646271
10,4.1,4.447723347369649,4.438522983590666,train,4.25327291257795,4.668027169413854,4.06492627268558,4.93515611475243,3.8857211069454154,5.055145016560465
11,6.7,6.411909495339969,6.383949314556809,train,6.364676060145217,6.666845867811169,6.19396918391488,6.934995259582548,6.134883624859345,7.2685923653297815
12,8.9,7.825037103658303,7.775132013014528,train,7.465811035794555,7.982367159264297,7.166041238882083,8.151491240466006,6.981405156247421,8.189001167639136
13,6.9,6.87675167296509,6.83979972165622,train,6.692049187401513,7.011086924972776,6.499458382602956,7.262360787605647,6.301936990715428,7.501512708678338
14,5.4,6.048577709699687,6.020465649333725,train,5.81384334858591,6.327973271357269,5.550094575384801,6.6052675474519535,5.471664429425199,6.800457824295367
15,4.2,5.31056255805109,5.292190319156091,train,5.161220665528202,5.397486624517243,4.855113281241894,5.592951978032616,4.67694332720859,5.703721106138845
16,3.9,4.678604741877762,4.663796867208622,train,4.4933095605709665,4.89257380235688,4.387765843201072,5.0025217294826785,4.28460390770971,5.1310941038533935
17,3.5,4.094521848010315,4.089974220269719,train,3.8263354897665023,4.156575095586686,3.558849231094992,4.407654751999018,3.255800464959878,4.59181126499633
18,3.5,3.62961878060936,3.6206464651618835,train,3.3953470614247374,3.8798144019016827,3.2166689012646454,3.9673208374884834,3.1628170296696148,4.205326393633535
19,3.4,3.140956891203856,3.1491391233227133,train,2.924385731991147,3.2417774873801353,2.7452157905197137,3.3436562747128096,2.5160304337484467,3.5436812895875116
20,3.3,2.8374838863182372,2.826772424329886,train,2.5539190349790806,3.0558290956517276,2.327396814455859,3.228132136187133,2.247516280624995,3.747999192058871
21,3.3,2.3856567648973743,2.406838553638738,train,2.1672474796394114,2.481649548031438,2.079490559719589,2.5922266548942257,1.9668663559761395,2.764791095018105
22,2.7,2.239192713105246,2.2229261321633738,train,2.013717909839593,2.3820665861141808,1.8386376971453442,2.6400251346961774,1.5456217700785755,2.923149678918303
